Number of Additional Surge Beds Being Planned,Empty Adult ICU Beds,Adult ICU Staffed Bed Capacity,Number of Ventilators Available,Number of Ventilators in Hospital,Number of COVID-19 Positive Patients In Hospital,Number of Fatalities related to COVID-19 in past 24 hours,Number of COVID-19 Positive Adults in ICU,Number of ALL Patients Under Investigation for COVID-19 In Hospital,Number of new patients admitted to an inpatient bed who had confirmed COVID-19 at the time of admission in the past 24 hours,Number of new patients admitted to an inpatient bed who had suspected COVID-19 at the time of admission in the past 24 hours,Staffed Inpatient Capacity (all bed types),Inpatient Census (all bed types),Adult ICU Census,Number of Ventilators In Use,Date,Empty Inpatient Beds (all types),cms_number,hospital_name,Coalition
41,15,22,35,37,8,0,2,0,1,2,147,70,7,2,11/13/2020,77,340017,Pardee Hospital,MAHPC
57,2,12,10,10,0,0,0,3,0,0,53,39,10,0,10/31/2020,14,340091,Cone Health Annie Penn Hospital,THPC
12,5,12,10,11,9,0,3,2,0,0,97,47,7,1,11/25/2020,50,340129,Lake Norman Regional Medical Center,MHPC
27,0,0,13,13,0,0,0,0,0,0,42,36,0,0,11/12/2020,6,340014,Novant Health - Forsyth MC,THPC
29,0,6,17,17,6,1,3,3,1,2,62,58,6,0,10/11/2020,4,340068,Columbus Regional Healthcare System,SHPR
0,6,9,3,3,1,0,0,3,0,1,37,9,3,0,11/27/2020,28,341326,Angel Medical Center,MAHPC
12,0,0,2,2,0,0,0,0,0,0,6,5,0,0,10/29/2020,1,341304,Vidant Bertie Hospital,EHPC
25,12,24,20,24,12,0,4,0,2,0,204,150,12,4,10/2/2020,54,340116,Frye Regional MC,THPC
30,11,102,161,230,76,3,22,19,15,2,1037,720,91,69,11/19/2020,317,340014,Novant Health - Forsyth MC,THPC
10,0,8,8,9,1,0,1,1,1,1,70,64,8,1,11/9/2020,6,340099,Vidant Roanoke Chowan Hospital,EHPC
51,1,16,11,15,27,0,10,1,11,1,154,103,15,4,11/9/2020,51,340039,Iredell Health System,THPC
49,0,8,20,22,11,0,2,0,1,0,264,142,8,2,11/5/2020,122,340183,Novant Health - Huntersville,MHPC
30,2,112,138,199,56,3,20,25,6,4,1037,780,110,61,10/22/2020,257,340014,Novant Health - Forsyth MC,THPC
40,2,10,15,16,14,0,2,5,3,4,109,68,8,1,11/30/2020,41,340109,Sentara Albemarle Medical Center,EHPC
8,0,0,5,5,0,0,0,4,0,0,17,13,0,0,10/21/2020,4,341324,The Outer Banks Hospital,EHPC
0,0,1,4,4,4,0,0,1,0,1,25,25,1,0,10/26/2020,0,340087,McDowell Hospital,MAHPC
,,,,,,,,,,,,,,,10/11/2020,,100,Durham VA,DHPC
45,14,135,237,295,29,0,12,2,2,17,780,623,121,58,11/3/2020,157,340061,UNC Medical Center,MCRHC
0,25,91,61,91,29,0,4,23,6,12,717,590,66,30,10/27/2020,127,340002,Mission Health Hospital,MAHPC
44,3,6,6,7,0,0,1,0,0,0,88,57,3,1,11/6/2020,31,340023,Park Ridge Health (Advent Health),MAHPC
,,,,,,,,,,,,,,,10/22/2020,,102,Womack Army Medical Center,MCRHC
40,4,10,15,16,14,0,2,2,3,2,98,47,6,1,11/29/2020,51,340109,Sentara Albemarle Medical Center,EHPC
56,5,8,10,10,2,0,0,0,1,0,68,22,3,0,10/5/2020,46,340024,Sampson Regional Medical Center,MCRHC
7,1,9,9,10,11,0,2,0,2,2,34,27,8,1,11/28/2020,7,340120,Vidant Duplin Hospital,EHPC
25,3,8,14,14,0,0,3,0,0,0,88,60,5,0,11/11/2020,28,340144,Davis Regional MC,THPC
20,2,6,4,4,1,0,0,5,1,2,18,16,4,0,10/3/2020,2,340159,Person Memorial Hospital,DHPC
12,5,10,11,12,3,0,7,0,3,0,96,79,5,1,10/28/2020,17,340051,Watauga Medical Center,THPC
0,0,0,15,15,0,0,0,0,0,0,38,10,0,0,11/15/2020,28,340148,Novant Health - Medical Park Hospital,THPC
0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,10/2/2020,0,341316,Highlands Cashiers Hospital,MAHPC
429,15,62,84,120,35,0,9,4,8,23,764,607,47,36,10/13/2020,157,340141,New Hanover Regional MC,SHPR
0,0,0,0,0,0,0,0,0,0,0,36,17,0,0,10/18/2020,19,340187,WFBMC- Davie MC,THPC
281,11,48,103,191,34,1,7,11,5,3,795,647,37,88,11/4/2020,148,340053,Novant Health - Presbyterian,MHPC
281,8,48,114,189,38,0,7,6,3,0,795,623,40,75,11/11/2020,172,340053,Novant Health - Presbyterian,MHPC
63,2,17,31,43,9,2,0,7,0,4,249,140,15,12,10/5/2020,109,340010,Wayne UNC Health Care,EHPC
20,6,23,49,56,29,1,6,0,6,0,309,274,17,7,10/7/2020,35,340131,CarolinaEast Medical Center,EHPC
31,0,4,23,24,1,0,0,1,1,0,66,50,4,1,10/28/2020,16,340014,Novant Health - Forsyth MC,THPC
63,0,0,11,11,0,0,0,0,0,0,25,17,0,0,10/4/2020,8,341325,Ashe Memorial Hospital,THPC
37,4,12,12,14,0,0,2,0,0,2,142,134,8,2,10/21/2020,8,340042,Onslow Memorial Hospital,EHPC
18,1,14,28,38,18,1,7,41,2,11,176,132,13,10,11/16/2020,44,340130,Atrium Health - Union,MHPC
44,2,6,6,7,0,0,0,0,0,0,88,66,4,1,11/18/2020,22,340023,Park Ridge Health (Advent Health),MAHPC
7,0,0,4,4,0,0,0,0,0,0,18,15,0,0,10/26/2020,3,341307,Pender Memorial Hospital,SHPR
0,4,4,3,3,1,0,0,0,0,0,27,18,0,0,11/30/2020,9,341315,Cape Fear Valley Bladen Hospital,SHPR
0,8,18,0,8,4,0,2,0,1,0,113,38,10,8,11/4/2020,75,340096,WFBMC - Lexington MC,THPC
0,11,18,0,7,0,0,0,3,0,1,113,44,7,7,10/28/2020,69,340096,WFBMC - Lexington MC,THPC
24,0,8,28,29,3,0,0,16,1,4,126,103,8,1,11/13/2020,23,340166,Atrium Health - University,MHPC
29,0,8,12,15,12,0,3,0,2,0,81,60,8,3,11/13/2020,21,340097,Hugh Chatham Memorial Hospital,THPC
10,4,6,12,12,0,0,0,0,0,0,85,71,2,0,11/20/2020,14,340142,Carteret General Hospital,EHPC
18,2,30,38,52,31,0,10,31,1,14,281,223,28,14,11/1/2020,58,340098,Atrium Health - Pineville,MHPC
12,0,10,10,12,11,0,7,0,2,0,96,87,10,2,10/8/2020,9,340051,Watauga Medical Center,THPC
0,0,9,3,3,1,0,0,2,1,1,37,20,9,0,10/13/2020,17,341326,Angel Medical Center,MAHPC
21,3,20,8,10,2,0,1,15,0,6,154,141,17,2,10/27/2020,13,340091,Cone Health Wesley Long Hospital,THPC
16,0,4,6,6,1,0,0,0,0,1,20,12,4,0,11/1/2020,8,341311,UNC Chatham Hospital,MCRHC
21,2,20,10,10,5,0,1,15,0,1,154,132,18,0,10/28/2020,22,340091,Cone Health Wesley Long Hospital,THPC
30,4,6,4,4,1,0,0,0,0,0,31,14,2,0,11/19/2020,17,341328,Murphy Medical Center Erlanger Western Carolina Hospital,MAHPC
0,2,10,7,7,14,0,3,3,2,2,77,58,8,0,11/23/2020,19,340003,Northern Regional Hospital,THPC
11,6,13,20,25,10,0,6,2,1,0,155,68,7,5,11/27/2020,87,340085,Novant Health - Thomasville MC,THPC
54,1,8,5,5,0,0,2,4,0,2,107,106,7,0,10/27/2020,1,340060,UNC Rockingham Hospital,THPC
177,30,125,56,105,39,0,19,5,4,3,938,628,95,49,10/27/2020,310,340047,Wake Forest Baptist MC – Winston Campus,THPC
65,0,12,15,17,18,0,4,0,0,4,170,141,12,2,11/27/2020,29,340173,Wake Medical Center Cary,CapRAC
,,,,,,,,,,,,,,,10/8/2020,,340024,Sampson Regional Medical Center,MCRHC
7,0,0,4,4,0,0,0,0,0,0,25,13,0,0,11/18/2020,12,341327,Dosher Memorial Hospital,SHPR
1,0,0,2,2,0,0,0,0,0,0,17,7,0,0,11/14/2020,10,341305,Swain Hospital,MAHPC
60,25,120,103,181,38,0,8,0,9,0,888,824,95,78,11/5/2020,64,340040,Vidant Medical Center,EHPC
136,13,76,100,123,34,1,9,0,2,4,520,431,63,23,10/31/2020,89,340069,Wake Medical Center,CapRAC
429,25,76,88,120,55,1,15,3,6,18,769,556,51,32,11/29/2020,213,340141,New Hanover Regional MC,SHPR
,,,,,,,,,,,,,,,10/10/2020,,340186,Vidant Beaufort Hospital,EHPC
25,12,24,19,24,9,0,4,0,0,0,204,165,12,5,10/12/2020,39,340116,Frye Regional MC,THPC
46,36,136,236,295,55,0,25,2,7,15,817,629,100,59,11/29/2020,188,340061,UNC Medical Center,MCRHC
0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,11/12/2020,0,341316,Highlands Cashiers Hospital,MAHPC
65,2,12,17,17,6,0,0,0,0,1,170,149,10,0,11/5/2020,21,340173,Wake Medical Center Cary,CapRAC
13,12,20,28,29,6,0,1,29,0,7,219,117,8,1,11/14/2020,102,340113,Atrium Health - Main,MHPC
0,0,0,2,2,4,0,0,1,0,0,32,10,0,0,10/30/2020,22,341329,Blue Ridge Regional Hospital,MAHPC
44,12,121,105,189,29,0,10,64,2,18,871,728,109,84,10/2/2020,143,340113,Atrium Health - Main,MHPC
0,0,0,1,1,0,0,0,0,0,0,8,5,0,0,11/25/2020,3,340115,FirstHealth Moore Regional Hospital - Hoke Campus,MCRHC
7,1,9,9,10,7,0,3,1,3,1,34,31,8,1,11/24/2020,3,340120,Vidant Duplin Hospital,EHPC
5,2,3,11,11,0,0,0,0,0,0,58,39,1,0,11/2/2020,19,340123,Randolph Hospital,THPC
16,0,10,10,13,22,0,8,0,2,0,112,104,10,3,10/23/2020,8,340008,Scotland Health Care System,MHPC
20,5,23,50,56,25,0,3,0,5,0,309,221,18,6,10/1/2020,88,340131,CarolinaEast Medical Center,EHPC
0,1,8,3,8,9,0,2,0,0,0,120,53,7,5,11/18/2020,67,340064,WFBMC - Wilkes Regional MC,THPC
14,1,10,16,18,7,0,3,0,2,0,54,44,9,2,11/19/2020,10,340186,Vidant Beaufort Hospital,EHPC
23,2,25,14,22,15,0,6,0,3,0,275,176,23,8,10/4/2020,99,340004,WFBMC- High Point MC,THPC
20,4,23,48,56,33,0,6,0,6,0,309,269,19,8,10/15/2020,40,340131,CarolinaEast Medical Center,EHPC
0,9,10,8,9,6,0,1,6,0,6,125,39,1,1,11/27/2020,86,340013,Rutherford Regional Hospital,MAHPC
8,2,8,3,5,0,0,2,2,1,0,32,30,6,2,10/11/2020,2,340071,Harnett Health - Central Harnett Hospital,CapRAC
0,0,0,1,1,0,0,0,0,0,0,8,3,0,0,11/14/2020,5,340115,FirstHealth Moore Regional Hospital - Hoke Campus,MCRHC
18,1,30,39,52,33,0,8,43,2,13,281,243,29,13,11/3/2020,38,340098,Atrium Health - Pineville,MHPC
0,4,4,3,3,0,0,0,0,0,0,27,20,0,0,11/14/2020,7,341315,Cape Fear Valley Bladen Hospital,SHPR
41,16,22,35,37,5,0,1,2,0,0,147,64,6,2,11/15/2020,83,340017,Pardee Hospital,MAHPC
0,0,1,3,4,1,0,0,3,1,2,25,15,1,1,11/25/2020,10,340087,McDowell Hospital,MAHPC
0,2,9,3,3,1,0,0,0,0,1,37,13,7,0,10/6/2020,24,341326,Angel Medical Center,MAHPC
12,0,4,4,4,1,1,1,0,1,0,29,24,4,0,10/29/2020,5,341318,Vidant Chowan Hospital,EHPC
72,0,8,4,6,4,0,0,0,0,0,53,53,8,2,11/25/2020,0,340020,Central Carolina Hospital,CapRAC
10,3,18,32,42,25,1,5,15,3,5,203,138,15,10,11/4/2020,65,340021,Atrium Health - Cleveland,MHPC
49,0,0,5,5,1,0,0,0,1,0,27,13,0,0,11/18/2020,14,341325,Ashe Memorial Hospital,THPC
5,0,0,0,1,0,0,0,0,0,1,12,10,0,1,10/10/2020,2,341314,Washington Regional Medical Center,EHPC
10,1,18,36,43,18,1,3,21,1,6,203,137,17,7,10/9/2020,66,340021,Atrium Health - Cleveland,MHPC
0,1,9,3,3,1,0,0,2,0,3,37,18,8,0,10/16/2020,19,341326,Angel Medical Center,MAHPC
14,0,10,15,18,2,0,1,0,0,0,54,35,10,3,11/8/2020,19,340186,Vidant Beaufort Hospital,EHPC
10,3,18,37,43,25,1,8,29,2,14,203,131,15,6,10/27/2020,72,340021,Atrium Health - Cleveland,MHPC
0,4,4,4,4,1,0,0,0,0,0,49,13,0,0,10/1/2020,36,340188,Cape Fear Valley Hoke Hospital,MCRHC
12,7,27,28,47,66,1,9,2,8,2,406,337,20,19,11/25/2020,69,340032,CaroMont Health,MHPC
10,3,6,8,8,0,0,0,0,0,0,48,33,3,0,11/1/2020,15,340127,Granville Health System,DHPC
10,3,10,14,16,8,0,0,14,0,9,84,53,7,2,10/17/2020,31,340119,Atrium Health - Stanly,MHPC
57,2,12,7,10,1,0,0,8,0,0,53,48,10,3,11/12/2020,5,340091,Cone Health Annie Penn Hospital,THPC
16,3,10,12,12,2,0,1,0,0,0,110,76,7,0,10/22/2020,34,340184,Haywood Hospital,MAHPC
16,0,0,3,3,1,0,0,0,0,1,55,25,0,0,11/8/2020,30,340069,Wake Medical Center,CapRAC
0,2,9,3,3,2,0,0,1,0,2,37,14,7,0,11/11/2020,23,341326,Angel Medical Center,MAHPC
277,11,111,57,130,26,0,10,0,1,2,874,819,100,73,10/19/2020,55,340030,Duke University Hospital,DHPC
25,0,8,14,14,0,0,3,1,0,0,88,62,8,0,11/12/2020,26,340144,Davis Regional MC,THPC
,,,,,,,,,,,,,,,10/22/2020,,341328,Murphy Medical Center Erlanger Western Carolina Hospital,MAHPC
51,4,16,12,15,8,0,3,1,1,0,154,103,12,3,10/4/2020,51,340039,Iredell Health System,THPC
0,2,6,2,2,2,0,2,0,0,0,11,12,4,0,10/16/2020,-1,341322,St. Lukes Hospital,MAHPC
51,3,16,12,16,1,0,6,1,1,0,154,113,13,4,10/25/2020,41,340039,Iredell Health System,THPC
5,0,0,0,1,0,0,0,0,0,0,12,9,0,1,11/11/2020,3,341314,Washington Regional Medical Center,EHPC
,,,,,,,,,,,,,,,11/21/2020,,101,Naval Medical Center Camp Lejeune,SHPR
,,,,,,,,,,,,,,,11/7/2020,,100,Durham VA,DHPC
10,1,18,32,43,19,2,4,22,3,9,203,127,17,11,11/10/2020,76,340021,Atrium Health - Cleveland,MHPC
30,0,8,10,12,3,0,2,0,2,0,77,65,8,2,10/1/2020,12,340132,Maria Parham Medical Center,DHPC
15,1,8,7,9,2,0,2,1,0,0,78,61,7,2,10/2/2020,17,340099,Vidant Roanoke Chowan Hospital,EHPC
30,2,8,8,12,4,0,1,0,2,0,77,55,6,4,10/7/2020,22,340132,Maria Parham Medical Center,DHPC
0,0,0,2,2,0,0,0,0,0,0,6,3,0,0,10/10/2020,3,341320,Alleghany Memorial Hospital,THPC
10,1,18,38,43,21,0,7,18,2,4,203,141,17,5,10/11/2020,62,340021,Atrium Health - Cleveland,MHPC
32,9,21,41,45,26,0,4,1,4,10,277,115,12,4,11/27/2020,162,340147,Nash Health Care System,EHPC
11,4,13,17,25,2,0,0,0,0,0,155,87,9,8,10/20/2020,68,340085,Novant Health - Thomasville MC,THPC
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,11/27/2020,0,341316,Highlands Cashiers Hospital,MAHPC
0,0,0,1,1,0,0,0,0,0,0,14,11,0,0,11/15/2020,3,341317,LifeBright Community Hospital of Stokes,THPC
0,4,4,3,3,2,0,0,0,0,0,27,16,0,0,10/23/2020,11,341315,Cape Fear Valley Bladen Hospital,SHPR
23,0,8,5,9,22,0,3,0,3,0,60,60,8,4,10/23/2020,0,340107,Vidant Edgecombe Hospital,EHPC
29,4,5,26,26,6,1,1,0,0,0,114,67,1,0,11/2/2020,47,340158,Novant Health - Brunswick MC,SHPR
7,0,0,4,4,0,0,0,0,0,0,25,7,0,0,11/30/2020,18,341327,Dosher Memorial Hospital,SHPR
18,4,14,32,38,12,0,4,15,1,5,176,100,10,6,10/3/2020,76,340130,Atrium Health - Union,MHPC
36,1,10,20,20,16,0,5,15,5,9,113,70,9,0,10/10/2020,43,340145,Atrium Health - Lincoln,MHPC
13,13,20,26,29,1,0,0,24,0,12,219,121,7,3,10/16/2020,98,340113,Atrium Health - Main,MHPC
0,8,18,0,8,2,0,0,2,1,0,113,43,10,8,11/3/2020,70,340096,WFBMC - Lexington MC,THPC
10,4,10,15,16,3,0,2,17,0,5,84,32,6,1,11/16/2020,52,340119,Atrium Health - Stanly,MHPC
7,0,0,0,0,0,0,0,0,0,0,18,14,0,0,11/1/2020,4,341307,Pender Memorial Hospital,SHPR
0,16,91,41,91,40,0,10,19,2,11,717,586,75,50,11/6/2020,131,340002,Mission Health Hospital,MAHPC
30,2,8,7,12,6,0,0,0,0,0,77,56,6,5,11/1/2020,21,340132,Maria Parham Medical Center,DHPC
57,3,12,10,10,0,0,0,3,0,0,53,39,9,0,10/15/2020,14,340091,Cone Health Annie Penn Hospital,THPC
0,0,0,1,1,0,0,0,0,0,0,14,4,0,0,11/21/2020,10,341317,LifeBright Community Hospital of Stokes,THPC
281,8,48,90,189,43,1,8,9,3,1,795,634,40,99,11/25/2020,161,340053,Novant Health - Presbyterian,MHPC
0,2,14,20,26,1,2,0,1,1,1,261,126,12,6,11/11/2020,135,340027,UNC Lenoir Hospital,EHPC
16,3,10,12,12,0,0,0,0,0,0,110,82,7,0,10/9/2020,28,340184,Haywood Hospital,MAHPC
29,0,6,16,17,8,0,4,4,0,1,62,39,6,1,11/30/2020,23,340068,Columbus Regional Healthcare System,SHPR
18,6,30,40,51,16,0,3,38,3,15,281,231,24,11,10/3/2020,50,340098,Atrium Health - Pineville,MHPC
0,4,4,3,3,2,0,0,0,0,0,27,21,0,0,10/9/2020,6,341315,Cape Fear Valley Bladen Hospital,SHPR
22,20,59,25,34,23,0,6,2,2,8,177,121,39,9,11/29/2020,56,340090,Johnston UNC Health Care,CapRAC
18,4,30,33,51,13,3,5,38,1,10,281,226,26,18,10/9/2020,55,340098,Atrium Health - Pineville,MHPC
54,2,8,5,5,1,0,0,0,1,0,107,105,6,0,11/5/2020,2,340060,UNC Rockingham Hospital,THPC
16,0,8,9,13,26,1,3,0,8,0,104,85,8,4,11/27/2020,19,340008,Scotland Health Care System,MHPC
64,3,15,22,25,4,0,0,0,0,0,184,165,12,3,10/17/2020,19,340073,Duke Raleigh Hospital,DHPC
18,5,6,5,7,0,0,0,1,2,1,18,7,1,2,11/21/2020,11,340133,Martin General Hospital,EHPC
72,0,8,5,6,6,0,1,0,0,0,53,52,8,1,11/12/2020,1,340020,Central Carolina Hospital,CapRAC
27,0,0,13,13,1,0,0,1,0,0,42,22,0,0,10/18/2020,20,340014,Novant Health - Forsyth MC,THPC
4,3,8,5,6,2,1,1,0,0,0,53,19,5,1,11/27/2020,34,340115,FirstHealth Richmond Memorial Hospital,MCRHC
60,16,120,105,181,63,0,12,0,11,0,888,839,104,76,10/20/2020,49,340040,Vidant Medical Center,EHPC
11,8,13,24,25,5,0,0,1,1,0,155,75,5,1,11/1/2020,80,340085,Novant Health - Thomasville MC,THPC
0,2,10,7,7,1,0,3,6,1,1,78,50,8,0,10/31/2020,28,340003,Northern Regional Hospital,THPC
46,32,136,235,295,49,0,25,5,3,12,820,617,104,60,11/28/2020,203,340061,UNC Medical Center,MCRHC
14,0,0,5,5,2,0,0,4,0,0,17,7,0,0,11/21/2020,10,341324,The Outer Banks Hospital,EHPC
21,18,72,37,57,22,1,2,36,4,4,607,427,54,20,11/15/2020,180,340091,Cone Health Moses H. Cone Memorial Hospital,THPC
1,0,0,2,2,0,0,0,0,0,0,17,10,0,0,11/3/2020,7,341305,Swain Hospital,MAHPC
22,18,59,27,34,14,0,5,0,3,3,177,118,41,7,10/22/2020,59,340090,Johnston UNC Health Care,CapRAC
48,3,18,28,36,38,2,3,0,3,0,285,205,15,8,11/30/2020,80,340155,Duke Regional Hospital,DHPC
0,7,17,5,6,1,0,0,0,0,0,112,45,10,1,10/8/2020,67,340096,WFBMC - Lexington MC,THPC
44,2,6,5,7,0,0,3,1,0,0,88,48,4,2,10/26/2020,40,340023,Park Ridge Health (Advent Health),MAHPC
12,2,10,9,12,2,0,6,0,2,0,96,81,8,3,10/30/2020,15,340051,Watauga Medical Center,THPC
43,5,20,18,22,10,0,2,11,6,3,195,128,15,4,11/22/2020,67,340070,Alamance Regional Medical Center,MCRHC
0,0,0,1,1,0,0,0,2,0,2,14,13,0,0,11/11/2020,1,341317,LifeBright Community Hospital of Stokes,THPC
44,3,6,5,7,0,0,2,0,0,0,88,48,3,2,11/15/2020,40,340023,Park Ridge Health (Advent Health),MAHPC
23,1,26,11,22,25,0,6,2,3,1,252,192,25,11,11/23/2020,60,340004,WFBMC- High Point MC,THPC
9,52,181,117,134,19,0,6,1,2,9,458,331,129,17,11/1/2020,127,340114,UNC Rex Hospital,MCRHC
11,0,0,2,2,0,0,0,0,0,0,12,4,0,0,11/28/2020,8,341303,FirstHealth Montgomery Memorial Hospital,MCRHC
0,2,9,3,3,1,0,0,0,0,0,37,14,7,0,10/31/2020,23,341326,Angel Medical Center,MAHPC
36,0,10,21,22,15,0,5,7,0,3,113,64,10,1,10/22/2020,49,340145,Atrium Health - Lincoln,MHPC
10,5,10,15,16,3,0,1,10,2,4,84,25,5,1,11/14/2020,59,340119,Atrium Health - Stanly,MHPC
27,0,0,13,13,1,0,0,0,0,0,42,31,0,0,11/9/2020,11,340014,Novant Health - Forsyth MC,THPC
0,0,0,2,2,1,0,0,3,0,2,15,10,0,0,10/4/2020,5,340084,Atrium Health - Anson,MHPC
0,5,10,5,9,2,0,4,4,2,4,125,42,5,4,10/2/2020,83,340013,Rutherford Regional Hospital,MAHPC
10,2,18,36,45,19,0,4,15,0,2,203,118,16,9,11/25/2020,85,340021,Atrium Health - Cleveland,MHPC
24,3,8,30,32,2,0,0,18,0,5,126,94,5,2,10/27/2020,32,340166,Atrium Health - University,MHPC
7,0,0,4,4,0,0,0,0,0,0,25,7,0,0,11/3/2020,18,341327,Dosher Memorial Hospital,SHPR
24,0,8,29,31,5,0,0,25,1,7,126,93,8,2,11/10/2020,33,340166,Atrium Health - University,MHPC
0,3,14,20,26,4,1,0,0,4,0,261,127,11,6,11/10/2020,134,340027,UNC Lenoir Hospital,EHPC
4,3,8,6,6,3,0,0,0,1,0,53,33,5,0,10/26/2020,20,340115,FirstHealth Richmond Memorial Hospital,MCRHC
0,0,0,1,1,0,0,0,0,0,0,8,5,0,0,11/28/2020,3,340115,FirstHealth Moore Regional Hospital - Hoke Campus,MCRHC
277,0,111,67,130,53,2,16,0,7,3,872,783,111,63,11/24/2020,89,340030,Duke University Hospital,DHPC
