Number of Additional Surge Beds Being Planned,Empty Adult ICU Beds,Adult ICU Staffed Bed Capacity,Number of Ventilators Available,Number of Ventilators in Hospital,Number of COVID-19 Positive Patients In Hospital,Number of Fatalities related to COVID-19 in past 24 hours,Number of COVID-19 Positive Adults in ICU,Number of ALL Patients Under Investigation for COVID-19 In Hospital,Number of new patients admitted to an inpatient bed who had confirmed COVID-19 at the time of admission in the past 24 hours,Number of new patients admitted to an inpatient bed who had suspected COVID-19 at the time of admission in the past 24 hours,Staffed Inpatient Capacity (all bed types),Inpatient Census (all bed types),Adult ICU Census,Number of Ventilators In Use,Date,Empty Inpatient Beds (all types),cms_number,hospital,Coalition
5,0,0,0,1,0,0,0,0,0,1,12,10,0,1,10/10/2020,2,341314,Washington Regional Medical Center,EHPC
10,1,18,36,43,18,1,3,21,1,6,203,137,17,7,10/9/2020,66,340021,Atrium Health - Cleveland,MHPC
0,1,9,3,3,1,0,0,2,0,3,37,18,8,0,10/16/2020,19,341326,Angel Medical Center,MAHPC
10,3,18,37,43,25,1,8,29,2,14,203,131,15,6,10/27/2020,72,340021,Atrium Health - Cleveland,MHPC
0,4,4,4,4,1,0,0,0,0,0,49,13,0,0,10/1/2020,36,340188,Cape Fear Valley Hoke Hospital,MCRHC
10,3,10,14,16,8,0,0,14,0,9,84,53,7,2,10/17/2020,31,340119,Atrium Health - Stanly,MHPC
16,3,10,12,12,2,0,1,0,0,0,110,76,7,0,10/22/2020,34,340184,Haywood Hospital,MAHPC
277,11,111,57,130,26,0,10,0,1,2,874,819,100,73,10/19/2020,55,340030,Duke University Hospital,DHPC
,,,,,,,,,,,,,,,10/22/2020,,341328,Murphy Medical Center Erlanger Western Carolina Hospital,MAHPC
51,4,16,12,15,8,0,3,1,1,0,154,103,12,3,10/4/2020,51,340039,Iredell Health System,THPC
51,3,16,12,16,1,0,6,1,1,0,154,113,13,4,10/25/2020,41,340039,Iredell Health System,THPC
0,2,6,2,2,2,0,2,0,0,0,11,12,4,0,10/16/2020,-1,341322,St. Lukes Hospital,MAHPC
30,0,8,10,12,3,0,2,0,2,0,77,65,8,2,10/1/2020,12,340132,Maria Parham Medical Center,DHPC
15,1,8,7,9,2,0,2,1,0,0,78,61,7,2,10/2/2020,17,340099,Vidant Roanoke Chowan Hospital,EHPC
30,2,8,8,12,4,0,1,0,2,0,77,55,6,4,10/7/2020,22,340132,Maria Parham Medical Center,DHPC
0,0,0,2,2,0,0,0,0,0,0,6,3,0,0,10/10/2020,3,341320,Alleghany Memorial Hospital,THPC
11,4,13,17,25,2,0,0,0,0,0,155,87,9,8,10/20/2020,68,340085,Novant Health - Thomasville MC,THPC
10,1,18,38,43,21,0,7,18,2,4,203,141,17,5,10/11/2020,62,340021,Atrium Health - Cleveland,MHPC
0,4,4,3,3,2,0,0,0,0,0,27,16,0,0,10/23/2020,11,341315,Cape Fear Valley Bladen Hospital,SHPR
23,0,8,5,9,22,0,3,0,3,0,60,60,8,4,10/23/2020,0,340107,Vidant Edgecombe Hospital,EHPC
18,4,14,32,38,12,0,4,15,1,5,176,100,10,6,10/3/2020,76,340130,Atrium Health - Union,MHPC
36,1,10,20,20,16,0,5,15,5,9,113,70,9,0,10/10/2020,43,340145,Atrium Health - Lincoln,MHPC
13,13,20,26,29,1,0,0,24,0,12,219,121,7,3,10/16/2020,98,340113,Atrium Health - Main,MHPC
57,3,12,10,10,0,0,0,3,0,0,53,39,9,0,10/15/2020,14,340091,Cone Health Annie Penn Hospital,THPC
16,3,10,12,12,0,0,0,0,0,0,110,82,7,0,10/9/2020,28,340184,Haywood Hospital,MAHPC
0,4,4,3,3,2,0,0,0,0,0,27,21,0,0,10/9/2020,6,341315,Cape Fear Valley Bladen Hospital,SHPR
18,6,30,40,51,16,0,3,38,3,15,281,231,24,11,10/3/2020,50,340098,Atrium Health - Pineville,MHPC
18,4,30,33,51,13,3,5,38,1,10,281,226,26,18,10/9/2020,55,340098,Atrium Health - Pineville,MHPC
64,3,15,22,25,4,0,0,0,0,0,184,165,12,3,10/17/2020,19,340073,Duke Raleigh Hospital,DHPC
27,0,0,13,13,1,0,0,1,0,0,42,22,0,0,10/18/2020,20,340014,Novant Health - Forsyth MC,THPC
60,16,120,105,181,63,0,12,0,11,0,888,839,104,76,10/20/2020,49,340040,Vidant Medical Center,EHPC
0,2,10,7,7,1,0,3,6,1,1,78,50,8,0,10/31/2020,28,340003,Northern Regional Hospital,THPC
22,18,59,27,34,14,0,5,0,3,3,177,118,41,7,10/22/2020,59,340090,Johnston UNC Health Care,CapRAC
12,2,10,9,12,2,0,6,0,2,0,96,81,8,3,10/30/2020,15,340051,Watauga Medical Center,THPC
44,2,6,5,7,0,0,3,1,0,0,88,48,4,2,10/26/2020,40,340023,Park Ridge Health (Advent Health),MAHPC
0,7,17,5,6,1,0,0,0,0,0,112,45,10,1,10/8/2020,67,340096,WFBMC - Lexington MC,THPC
0,2,9,3,3,1,0,0,0,0,0,37,14,7,0,10/31/2020,23,341326,Angel Medical Center,MAHPC
36,0,10,21,22,15,0,5,7,0,3,113,64,10,1,10/22/2020,49,340145,Atrium Health - Lincoln,MHPC
0,0,0,2,2,1,0,0,3,0,2,15,10,0,0,10/4/2020,5,340084,Atrium Health - Anson,MHPC
0,5,10,5,9,2,0,4,4,2,4,125,42,5,4,10/2/2020,83,340013,Rutherford Regional Hospital,MAHPC
24,3,8,30,32,2,0,0,18,0,5,126,94,5,2,10/27/2020,32,340166,Atrium Health - University,MHPC
4,3,8,6,6,3,0,0,0,1,0,53,33,5,0,10/26/2020,20,340115,FirstHealth Richmond Memorial Hospital,MCRHC
31,4,6,4,4,2,0,2,0,0,0,31,11,2,0,10/8/2020,20,341328,Murphy Medical Center Erlanger Western Carolina Hospital,MAHPC
24,1,8,32,33,6,0,0,24,0,9,126,95,7,1,10/15/2020,31,340166,Atrium Health - University,MHPC
26,6,10,0,0,0,0,0,3,0,0,110,67,4,0,10/19/2020,43,340109,Sentara Albemarle Medical Center,EHPC
,,,,,,,,,,,,,,,10/15/2020,,101,Naval Medical Center Camp Lejeune,SHPR
32,8,21,40,45,43,0,9,2,1,9,277,141,13,5,10/24/2020,136,340147,Nash Health Care System,EHPC
0,11,17,8,9,0,0,0,1,0,1,112,34,6,1,10/2/2020,78,340096,WFBMC - Lexington MC,THPC
277,46,110,60,130,36,0,9,0,7,2,860,808,64,70,10/9/2020,52,340030,Duke University Hospital,DHPC
18,16,74,31,57,9,0,2,30,1,7,610,442,58,26,10/3/2020,168,340091,Cone Health Moses H. Cone Memorial Hospital,THPC
31,1,4,23,24,3,1,1,0,0,0,66,46,3,1,10/11/2020,20,340014,Novant Health - Forsyth MC,THPC
0,5,14,19,26,1,0,4,1,1,4,261,106,9,7,10/11/2020,155,340027,UNC Lenoir Hospital,EHPC
22,19,59,28,34,10,0,5,9,1,10,177,97,40,6,10/5/2020,80,340090,Johnston UNC Health Care,CapRAC
6,0,0,10,10,0,0,0,6,0,0,59,33,0,0,10/30/2020,26,340037,Atrium Health - Kings Mountain,MHPC
24,1,8,31,32,2,0,0,9,0,2,126,95,7,1,10/24/2020,31,340166,Atrium Health - University,MHPC
18,1,14,31,38,11,0,5,28,1,9,176,126,13,7,10/21/2020,50,340130,Atrium Health - Union,MHPC
12,10,12,10,11,0,1,0,17,0,0,97,31,2,1,10/16/2020,66,340129,Lake Norman Regional Medical Center,MHPC
30,0,8,8,12,3,0,1,0,2,0,77,57,8,4,10/6/2020,20,340132,Maria Parham Medical Center,DHPC
49,1,8,20,21,5,0,0,0,0,0,264,153,7,1,10/9/2020,111,340183,Novant Health - Huntersville,MHPC
0,2,10,7,7,4,0,2,3,1,0,78,56,8,0,10/30/2020,22,340003,Northern Regional Hospital,THPC
7,0,0,4,4,0,0,0,0,0,0,25,13,0,0,10/29/2020,12,341327,Dosher Memorial Hospital,SHPR
16,3,10,12,12,3,0,0,0,1,0,110,78,7,0,10/31/2020,32,340184,Haywood Hospital,MAHPC
5,1,9,8,12,0,0,4,0,0,0,95,80,8,4,10/9/2020,15,340016,Harris Hosptial,MAHPC
0,8,38,16,27,38,0,8,1,3,0,331,314,30,11,10/14/2020,17,340115,FirstHealth Moore Regional Hospital,MCRHC
0,2,8,23,35,0,0,0,0,0,0,93,54,6,12,10/27/2020,39,342014,Highsmith-Rainey Specialty Hospital,MCRHC
58,9,19,6,9,5,1,5,0,1,0,80,52,10,3,10/26/2020,28,340075,Carolinas HealthCare System Blue Ridge Morganton,MHPC
7,1,9,10,10,6,0,2,3,0,2,34,33,8,0,10/20/2020,1,340120,Vidant Duplin Hospital,EHPC
32,7,21,40,45,32,0,6,2,1,11,277,136,14,5,10/16/2020,141,340147,Nash Health Care System,EHPC
16,0,0,3,3,3,0,0,1,0,2,55,34,0,0,10/12/2020,21,340069,Wake Medical Center,CapRAC
43,17,135,238,295,30,1,11,1,3,12,784,673,118,57,10/22/2020,111,340061,UNC Medical Center,MCRHC
0,0,0,0,0,0,0,0,0,0,0,42,16,0,0,10/16/2020,26,340187,WFBMC- Davie MC,THPC
5,0,9,8,12,0,0,1,0,0,0,95,68,9,4,10/27/2020,27,340016,Harris Hosptial,MAHPC
11,2,10,16,18,6,1,4,0,0,0,54,47,8,2,10/13/2020,7,340186,Vidant Beaufort Hospital,EHPC
22,17,59,32,34,15,0,7,0,1,11,177,113,42,2,10/20/2020,64,340090,Johnston UNC Health Care,CapRAC
22,16,59,25,34,15,0,5,3,0,14,177,110,43,9,10/11/2020,67,340090,Johnston UNC Health Care,CapRAC
25,2,8,14,14,0,0,1,0,0,0,88,54,6,0,10/7/2020,34,340144,Davis Regional MC,THPC
72,0,8,5,6,8,0,4,0,2,0,53,47,8,1,10/15/2020,6,340020,Central Carolina Hospital,CapRAC
48,4,16,32,36,20,1,3,1,3,1,287,229,12,4,10/22/2020,58,340155,Duke Regional Hospital,DHPC
30,2,8,8,12,3,0,1,0,0,0,77,61,6,4,10/25/2020,16,340132,Maria Parham Medical Center,DHPC
49,1,8,19,21,5,0,0,2,0,1,264,150,7,2,10/12/2020,114,340183,Novant Health - Huntersville,MHPC
5,1,9,8,12,0,0,2,0,0,0,95,70,8,4,10/30/2020,25,340016,Harris Hosptial,MAHPC
44,7,14,9,9,9,0,1,0,0,0,163,75,7,0,10/19/2020,88,340151,Vidant - North,EHPC
12,2,6,9,12,0,0,1,4,1,3,70,59,4,3,10/2/2020,11,340071,Harnett Health - Betsy Johnson Hospital,CapRAC
13,0,0,0,0,0,0,0,0,0,0,18,0,0,0,10/26/2020,18,340156,Cherokee Indian Hospital,MAHPC
56,3,8,10,10,4,0,2,0,0,0,67,27,5,0,10/20/2020,40,340024,Sampson Regional Medical Center,MCRHC
49,2,8,20,21,7,0,0,0,3,0,264,148,6,1,10/10/2020,116,340183,Novant Health - Huntersville,MHPC
0,7,38,13,27,42,1,12,0,4,0,331,307,31,14,10/27/2020,24,340115,FirstHealth Moore Regional Hospital,MCRHC
10,0,7,18,18,1,0,0,1,0,0,77,44,7,0,10/15/2020,33,340190,Novant Health - Mint Hill,THPC
2,2,12,22,26,3,0,0,4,1,3,86,65,10,4,10/11/2020,21,340041,UNC- Caldwell Memorial Hospital,THPC
0,3,25,20,27,35,0,4,0,8,2,295,178,22,7,10/8/2020,117,340050,Southeastern Regional Medical Center,DHPC
10,1,6,8,8,1,0,3,2,0,0,48,42,5,0,10/11/2020,6,340127,Granville Health System,DHPC
44,8,14,8,9,10,0,2,0,4,0,163,101,6,1,10/26/2020,62,340151,Vidant - North,EHPC
25,8,24,18,24,11,0,4,0,0,0,204,171,16,6,10/13/2020,33,340116,Frye Regional MC,THPC
177,36,132,50,105,36,1,13,3,7,1,950,641,96,55,10/8/2020,309,340047,Wake Forest Baptist MC – Winston Campus,THPC
34,4,6,4,4,1,0,1,0,0,0,31,11,2,0,10/9/2020,20,341328,Murphy Medical Center Erlanger Western Carolina Hospital,MAHPC
13,11,20,25,29,0,0,0,28,0,11,219,127,9,4,10/10/2020,92,340113,Atrium Health - Main,MHPC
12,3,27,24,47,43,2,4,0,5,1,406,345,24,23,10/24/2020,61,340032,CaroMont Health,MHPC
7,0,0,4,4,1,0,0,0,0,0,18,15,0,0,10/16/2020,3,341307,Pender Memorial Hospital,SHPR
22,20,59,29,34,17,0,4,0,1,6,177,106,39,5,10/23/2020,71,340090,Johnston UNC Health Care,CapRAC
10,2,18,38,43,20,1,5,26,0,3,203,139,16,5,10/5/2020,64,340021,Atrium Health - Cleveland,MHPC
2,0,12,23,26,6,0,0,3,1,5,86,55,12,3,10/4/2020,31,340041,UNC- Caldwell Memorial Hospital,THPC
0,0,0,0,0,0,0,0,0,0,0,38,11,0,0,10/11/2020,27,340187,WFBMC- Davie MC,THPC
0,29,91,54,91,26,0,6,21,5,12,712,565,62,37,10/20/2020,147,340002,Mission Health Hospital,MAHPC
56,2,8,10,10,3,0,2,0,0,0,67,24,6,0,10/21/2020,43,340024,Sampson Regional Medical Center,MCRHC
10,1,6,8,8,0,0,2,0,0,0,48,41,5,0,10/20/2020,7,340127,Granville Health System,DHPC
136,9,76,106,123,33,0,11,1,0,4,522,464,67,17,10/13/2020,58,340069,Wake Medical Center,CapRAC
21,2,20,9,10,4,0,0,7,2,2,154,128,18,1,10/7/2020,26,340091,Cone Health Wesley Long Hospital,THPC
64,1,15,21,25,7,0,0,2,1,1,181,170,14,4,10/26/2020,11,340073,Duke Raleigh Hospital,DHPC
88,0,9,12,17,58,0,9,1,8,0,55,55,9,5,10/18/2020,0,340091,Women's Hospital,THPC
10,0,7,18,18,1,0,0,0,0,0,77,42,7,0,10/18/2020,35,340190,Novant Health - Mint Hill,THPC
44,9,14,8,9,7,0,0,0,1,0,163,91,5,1,10/24/2020,72,340151,Vidant - North,EHPC
23,0,8,8,9,12,0,4,2,4,0,60,58,8,1,10/6/2020,2,340107,Vidant Edgecombe Hospital,EHPC
13,11,20,27,29,0,0,0,38,0,12,219,131,9,2,10/13/2020,88,340113,Atrium Health - Main,MHPC
57,5,12,10,10,0,0,0,4,0,0,53,40,7,0,10/4/2020,13,340091,Cone Health Annie Penn Hospital,THPC
58,4,19,5,9,11,0,10,0,5,0,85,60,15,4,10/15/2020,25,340075,Carolinas HealthCare System Blue Ridge Morganton,MHPC
20,2,6,4,4,1,0,0,2,0,0,18,13,4,0,10/8/2020,5,340159,Person Memorial Hospital,DHPC
29,1,6,13,17,6,0,2,3,1,2,62,54,5,4,10/18/2020,8,340068,Columbus Regional Healthcare System,SHPR
72,0,8,6,6,0,0,1,0,0,0,53,51,8,0,10/13/2020,2,340020,Central Carolina Hospital,CapRAC
37,3,12,11,14,1,0,1,8,0,8,142,132,9,3,10/8/2020,10,340042,Onslow Memorial Hospital,EHPC
12,1,10,9,12,2,0,6,0,2,0,96,90,9,3,10/21/2020,6,340051,Watauga Medical Center,THPC
44,0,6,5,7,0,0,4,0,0,0,88,50,6,2,10/12/2020,38,340023,Park Ridge Health (Advent Health),MAHPC
25,7,24,17,24,14,0,9,0,0,0,204,147,17,7,10/27/2020,57,340116,Frye Regional MC,THPC
32,6,21,37,45,33,2,7,3,2,8,277,141,15,8,10/15/2020,136,340147,Nash Health Care System,EHPC
177,35,127,46,105,23,0,5,3,6,0,934,630,92,59,10/2/2020,304,340047,Wake Forest Baptist MC – Winston Campus,THPC
49,0,8,19,21,10,0,1,2,4,1,264,143,8,2,10/20/2020,121,340183,Novant Health - Huntersville,MHPC
0,1,8,23,35,0,0,0,0,0,0,93,54,7,12,10/15/2020,39,342014,Highsmith-Rainey Specialty Hospital,MCRHC
26,4,10,0,0,0,0,0,3,0,3,110,76,6,0,10/30/2020,34,340109,Sentara Albemarle Medical Center,EHPC
0,1,9,3,3,2,0,0,2,0,1,37,19,8,0,10/9/2020,18,341326,Angel Medical Center,MAHPC
24,2,8,31,33,4,0,0,15,0,6,126,93,6,2,10/20/2020,33,340166,Atrium Health - University,MHPC
0,4,4,3,3,2,0,0,0,0,0,27,21,0,0,10/12/2020,6,341315,Cape Fear Valley Bladen Hospital,SHPR
31,3,4,23,24,2,0,0,0,0,0,66,51,1,1,10/23/2020,15,340014,Novant Health - Forsyth MC,THPC
0,0,0,15,15,0,0,0,0,0,0,38,20,0,0,10/21/2020,18,340148,Novant Health - Medical Park Hospital,THPC
44,9,121,104,188,36,0,10,70,4,27,871,792,112,84,10/12/2020,79,340113,Atrium Health - Main,MHPC
29,1,5,26,26,3,0,0,1,0,0,114,73,4,0,10/1/2020,41,340158,Novant Health - Brunswick MC,SHPR
21,3,20,10,10,7,0,0,17,0,3,154,113,17,0,10/19/2020,41,340091,Cone Health Wesley Long Hospital,THPC
277,22,111,52,130,22,0,8,0,3,1,852,796,89,78,10/25/2020,56,340030,Duke University Hospital,DHPC
0,3,9,3,3,2,0,0,1,0,1,37,14,6,0,10/24/2020,23,341326,Angel Medical Center,MAHPC
0,0,0,2,2,0,0,0,2,0,1,15,6,0,0,10/28/2020,9,340084,Atrium Health - Anson,MHPC
64,2,15,21,25,3,0,0,0,0,0,181,145,13,4,10/25/2020,36,340073,Duke Raleigh Hospital,DHPC
35,3,16,15,26,24,0,7,2,3,2,200,114,13,11,10/19/2020,86,340143,Catawba Valley Medical Center,THPC
277,24,111,61,130,29,1,5,2,7,2,871,843,87,69,10/29/2020,28,340030,Duke University Hospital,DHPC
35,3,16,13,26,29,0,6,2,3,0,200,118,13,13,10/31/2020,82,340143,Catawba Valley Medical Center,THPC
11,4,13,17,25,4,0,1,0,2,0,155,95,9,8,10/21/2020,60,340085,Novant Health - Thomasville MC,THPC
12,3,12,11,11,0,1,0,0,0,0,97,55,9,0,10/15/2020,42,340129,Lake Norman Regional Medical Center,MHPC
48,0,19,24,36,20,0,4,1,0,3,277,226,19,12,10/14/2020,51,340155,Duke Regional Hospital,DHPC
9,26,181,110,134,15,0,4,1,2,4,459,378,155,24,10/28/2020,81,340114,UNC Rex Hospital,MCRHC
26,2,10,0,0,0,0,2,4,0,0,110,69,8,0,10/9/2020,41,340109,Sentara Albemarle Medical Center,EHPC
0,0,1,4,4,5,0,0,2,0,3,25,19,1,0,10/19/2020,6,340087,McDowell Hospital,MAHPC
25,2,8,14,14,3,0,3,0,3,0,88,60,6,0,10/20/2020,28,340144,Davis Regional MC,THPC
0,0,0,15,15,0,0,0,0,0,0,38,8,0,0,10/18/2020,30,340148,Novant Health - Medical Park Hospital,THPC
281,5,48,99,187,27,0,3,16,3,1,827,656,43,88,10/17/2020,171,340053,Novant Health - Presbyterian,MHPC
0,0,0,15,15,0,0,0,0,0,0,38,11,0,0,10/5/2020,27,340148,Novant Health - Medical Park Hospital,THPC
0,0,0,1,1,0,0,0,0,0,0,14,10,0,0,10/16/2020,4,341317,LifeBright Community Hospital of Stokes,THPC
0,0,0,1,1,0,0,0,0,0,0,8,5,0,0,10/15/2020,3,340115,FirstHealth Moore Regional Hospital - Hoke Campus,MCRHC
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10/25/2020,0,341316,Highlands Cashiers Hospital,MAHPC
4,3,8,6,6,7,0,1,0,1,1,53,35,5,0,10/13/2020,18,340115,FirstHealth Richmond Memorial Hospital,MCRHC
12,5,10,9,12,1,0,5,0,1,0,96,82,5,3,10/31/2020,14,340051,Watauga Medical Center,THPC
31,5,21,43,45,32,0,9,3,0,10,277,136,16,2,10/2/2020,141,340147,Nash Health Care System,EHPC
27,0,0,13,13,1,0,0,0,0,0,42,27,0,0,10/14/2020,15,340014,Novant Health - Forsyth MC,THPC
0,4,14,17,26,2,0,0,5,2,1,261,125,10,9,10/29/2020,136,340027,UNC Lenoir Hospital,EHPC
4,2,8,6,6,5,0,1,0,2,0,53,37,6,0,10/27/2020,16,340115,FirstHealth Richmond Memorial Hospital,MCRHC
32,7,21,38,45,39,1,10,2,1,4,277,137,14,7,10/26/2020,140,340147,Nash Health Care System,EHPC
29,0,5,25,26,14,0,2,1,2,0,114,87,5,1,10/14/2020,27,340158,Novant Health - Brunswick MC,SHPR
0,6,14,18,26,0,0,4,4,3,1,261,109,8,8,10/5/2020,152,340027,UNC Lenoir Hospital,EHPC
