Number of Additional Surge Beds Being Planned,Empty Adult ICU Beds,Adult ICU Staffed Bed Capacity,Number of Ventilators Available,Number of Ventilators in Hospital,Number of COVID-19 Positive Patients In Hospital,Number of Fatalities related to COVID-19 in past 24 hours,Number of COVID-19 Positive Adults in ICU,Number of ALL Patients Under Investigation for COVID-19 In Hospital,Number of new patients admitted to an inpatient bed who had confirmed COVID-19 at the time of admission in the past 24 hours,Number of new patients admitted to an inpatient bed who had suspected COVID-19 at the time of admission in the past 24 hours,Staffed Inpatient Capacity (all bed types),Inpatient Census (all bed types),Adult ICU Census,Number of Ventilators In Use,Date,Empty Inpatient Beds (all types),cms_number,hospital,Coalition
10,1,18,27,35,10,1,3,31,0,11,203,143,17,8,9/12/2020,60,340021,Atrium Health - Cleveland,MHPC
44,9,14,9,9,4,0,0,0,0,0,163,105,5,0,9/17/2020,58,340151,Vidant - North,EHPC
0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,10/2/2020,0,341316,Highlands Cashiers Hospital,MAHPC
,,,,,,,,,,,,,,,9/2/2020,,340109,Sentara Albemarle Medical Center,EHPC
429,15,62,84,120,35,0,9,4,8,23,764,607,47,36,10/13/2020,157,340141,New Hanover Regional MC,SHPR
7,0,0,4,4,0,0,0,0,0,0,18,13,0,0,9/14/2020,5,341307,Pender Memorial Hospital,SHPR
0,13,38,21,27,32,0,6,1,2,0,331,296,25,6,9/29/2020,35,340115,FirstHealth Moore Regional Hospital,MCRHC
49,0,8,0,20,0,0,0,0,0,0,264,155,8,20,9/12/2020,109,340183,Novant Health - Huntersville,MHPC
11,0,0,2,2,0,0,0,0,0,0,12,2,0,0,9/17/2020,10,341303,FirstHealth Montgomery Memorial Hospital,MCRHC
0,22,91,57,91,18,1,6,38,2,34,712,596,69,34,9/23/2020,116,340002,Mission Health Hospital,MAHPC
0,0,1,4,4,4,0,0,3,0,2,25,14,1,0,9/3/2020,11,340087,McDowell Hospital,MAHPC
12,0,6,12,12,0,0,3,5,0,2,77,70,6,0,9/15/2020,7,340071,Harnett Health - Betsy Johnson Hospital,CapRAC
,,,,,,,,,,,,,,,8/30/2020,,340126,Wilson Medical Center,EHPC
63,2,17,31,43,9,2,0,7,0,4,249,140,15,12,10/5/2020,109,340010,Wayne UNC Health Care,EHPC
20,6,23,49,56,29,1,6,0,6,0,309,274,17,7,10/7/2020,35,340131,CarolinaEast Medical Center,EHPC
11,0,0,2,2,0,0,0,0,0,0,12,3,0,0,9/30/2020,9,341303,FirstHealth Montgomery Memorial Hospital,MCRHC
63,0,0,11,11,0,0,0,0,0,0,25,17,0,0,10/4/2020,8,341325,Ashe Memorial Hospital,THPC
281,12,48,101,184,35,1,6,2,4,0,803,666,36,83,9/4/2020,137,340053,Novant Health - Presbyterian,MHPC
29,0,5,0,26,5,0,2,1,2,0,114,77,5,26,9/15/2020,37,340158,Novant Health - Brunswick MC,SHPR
0,0,9,3,3,1,0,0,2,1,1,37,20,9,0,10/13/2020,17,341326,Angel Medical Center,MAHPC
54,2,8,3,5,0,0,2,2,0,2,108,106,6,2,9/10/2020,2,340060,UNC Rockingham Hospital,THPC
12,0,10,10,12,11,0,7,0,2,0,96,87,10,2,10/8/2020,9,340051,Watauga Medical Center,THPC
10,1,18,36,43,18,2,3,26,3,10,203,148,17,7,9/29/2020,55,340021,Atrium Health - Cleveland,MHPC
0,3,22,40,51,26,0,4,2,4,0,269,180,19,11,8/28/2020,89,340015,Novant Health - Rowan Medical Center,THPC
16,4,10,12,12,4,0,2,0,0,0,110,84,6,0,9/22/2020,26,340184,Haywood Hospital,MAHPC
24,1,8,29,29,0,0,0,19,0,4,135,86,7,0,9/4/2020,49,340166,Atrium Health - University,MHPC
1,0,0,2,2,0,0,0,0,0,0,17,12,0,0,9/17/2020,5,341305,Swain Hospital,MAHPC
,,,,,,,,,,,,,,,9/6/2020,,341320,Alleghany Memorial Hospital,THPC
0,3,25,15,27,29,0,8,0,25,2,295,172,22,12,9/24/2020,123,340050,Southeastern Regional Medical Center,DHPC
0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,9/20/2020,6,341323,Cannon Hospital,MAHPC
0,0,0,2,2,1,0,0,1,1,3,32,14,0,0,8/27/2020,18,341329,Blue Ridge Regional Hospital,MAHPC
,,,,,,,,,,,,,,,10/8/2020,,340024,Sampson Regional Medical Center,MCRHC
,,,,,,,,,,,,,,,10/10/2020,,340186,Vidant Beaufort Hospital,EHPC
12,0,0,2,2,0,0,0,0,0,0,6,5,0,0,9/9/2020,1,341304,Vidant Bertie Hospital,EHPC
25,12,24,19,24,9,0,4,0,0,0,204,165,12,5,10/12/2020,39,340116,Frye Regional MC,THPC
177,31,119,50,107,13,0,5,7,2,1,892,580,88,57,8/29/2020,312,340047,Wake Forest Baptist MC – Winston Campus,THPC
0,3,8,7,8,3,0,1,1,0,1,113,45,5,1,9/19/2020,68,340064,WFBMC - Wilkes Regional MC,THPC
44,12,121,105,189,29,0,10,64,2,18,871,728,109,84,10/2/2020,143,340113,Atrium Health - Main,MHPC
30,1,8,10,12,4,0,1,0,2,1,77,55,7,2,9/13/2020,22,340132,Maria Parham Medical Center,DHPC
,,,,,,,,,,,,,,,8/29/2020,,340091,Cone Health Annie Penn Hospital,THPC
35,6,16,21,26,14,0,2,2,0,1,200,149,10,5,8/26/2020,51,340143,Catawba Valley Medical Center,THPC
5,0,0,0,0,5,0,0,0,0,0,12,7,0,0,8/27/2020,5,341314,Washington Regional Medical Center,EHPC
11,0,10,15,16,9,0,3,0,2,0,54,54,10,1,9/18/2020,0,340186,Vidant Beaufort Hospital,EHPC
20,5,23,50,56,25,0,3,0,3,0,309,221,18,6,10/1/2020,88,340131,CarolinaEast Medical Center,EHPC
11,4,13,19,25,3,0,0,2,1,1,155,87,9,6,9/18/2020,68,340085,Novant Health - Thomasville MC,THPC
0,0,0,2,2,0,0,0,1,0,0,15,2,0,0,8/28/2020,13,340084,Atrium Health - Anson,MHPC
23,2,25,14,22,15,0,6,0,3,0,275,176,23,8,10/4/2020,99,340004,WFBMC- High Point MC,THPC
20,4,23,48,56,33,0,6,0,6,0,309,269,19,8,10/15/2020,40,340131,CarolinaEast Medical Center,EHPC
277,0,97,66,130,19,0,6,2,3,3,842,839,97,64,8/28/2020,3,340030,Duke University Hospital,DHPC
8,2,8,3,5,0,0,2,2,1,0,32,30,6,2,10/11/2020,2,340071,Harnett Health - Central Harnett Hospital,CapRAC
44,4,121,110,189,23,1,7,28,1,6,871,805,117,79,9/24/2020,66,340113,Atrium Health - Main,MHPC
0,2,9,3,3,1,0,0,0,0,1,37,13,7,0,10/6/2020,24,341326,Angel Medical Center,MAHPC
,,,,,,,,,,,,,,,9/18/2020,,101,Naval Medical Center Camp Lejeune,SHPR
0,13,17,8,9,0,0,0,1,0,0,112,30,4,1,8/31/2020,82,340096,WFBMC - Lexington MC,THPC
0,22,120,53,131,29,2,5,11,5,5,830,634,98,78,8/28/2020,196,340040,Vidant Medical Center,EHPC
5,0,0,0,1,0,0,0,0,0,1,12,10,0,1,10/10/2020,2,341314,Washington Regional Medical Center,EHPC
10,1,18,36,43,18,1,3,21,1,6,203,137,17,7,10/9/2020,66,340021,Atrium Health - Cleveland,MHPC
0,1,9,3,3,1,0,0,2,0,3,37,19,8,0,10/16/2020,18,341326,Angel Medical Center,MAHPC
6,0,0,10,10,0,0,0,1,0,0,59,36,0,0,9/28/2020,23,340037,Atrium Health - Kings Mountain,MHPC
0,4,14,19,26,1,0,4,1,0,1,261,122,10,7,9/2/2020,139,340027,UNC Lenoir Hospital,EHPC
12,8,19,0,0,24,0,2,6,7,0,175,135,11,0,9/14/2020,40,340032,CaroMont Health,MHPC
0,4,4,4,4,1,0,0,0,0,0,49,13,0,0,10/1/2020,36,340188,Cape Fear Valley Hoke Hospital,MCRHC
22,17,59,29,34,11,0,2,9,2,13,177,101,42,5,9/8/2020,76,340090,Johnston UNC Health Care,CapRAC
143,6,65,34,52,28,1,4,5,1,20,628,459,59,18,9/11/2020,169,340028,Cape Fear Valley Medical Center,MCRHC
35,6,16,0,0,9,0,3,2,2,1,258,171,10,0,9/2/2020,87,340143,Catawba Valley Medical Center,THPC
58,8,19,8,9,4,0,4,0,0,0,88,65,11,1,9/21/2020,23,340075,Carolinas HealthCare System Blue Ridge Morganton,MHPC
51,4,16,12,15,8,0,3,1,1,0,154,103,12,3,10/4/2020,51,340039,Iredell Health System,THPC
18,3,30,37,52,13,1,6,34,3,8,281,223,27,15,9/27/2020,58,340098,Atrium Health - Pineville,MHPC
11,1,10,16,18,7,0,2,0,1,0,54,52,9,2,9/30/2020,2,340186,Vidant Beaufort Hospital,EHPC
0,5,10,7,7,1,0,1,0,0,0,78,43,5,0,9/23/2020,35,340003,Northern Regional Hospital,THPC
18,7,20,18,22,3,0,0,15,0,0,220,120,13,4,9/20/2020,100,340070,Alamance Regional Medical Center,MCRHC
5,0,0,5,5,0,0,0,0,0,0,54,47,0,0,9/10/2020,7,340123,Randolph Hospital,THPC
120,2,8,15,15,3,0,1,0,0,1,81,60,6,0,9/2/2020,21,340097,Hugh Chatham Memorial Hospital,THPC
57,2,12,10,10,0,0,0,3,0,0,53,42,10,0,9/10/2020,11,340091,Cone Health Annie Penn Hospital,THPC
30,0,8,10,12,3,0,2,0,2,0,77,65,8,2,10/1/2020,12,340132,Maria Parham Medical Center,DHPC
29,0,5,25,26,4,0,0,3,0,1,114,90,5,1,9/11/2020,24,340158,Novant Health - Brunswick MC,SHPR
15,1,8,7,9,2,0,2,1,0,0,78,61,7,2,10/2/2020,17,340099,Vidant Roanoke Chowan Hospital,EHPC
64,0,15,20,25,11,1,2,0,2,0,180,157,15,5,8/26/2020,23,340073,Duke Raleigh Hospital,DHPC
30,2,8,8,12,4,0,1,0,2,0,77,55,6,4,10/7/2020,22,340132,Maria Parham Medical Center,DHPC
0,0,0,2,2,0,0,0,0,0,0,6,3,0,0,10/10/2020,3,341320,Alleghany Memorial Hospital,THPC
30,2,8,10,12,1,0,2,0,2,0,77,52,6,2,9/23/2020,25,340132,Maria Parham Medical Center,DHPC
10,1,18,38,43,21,0,7,18,2,4,203,141,17,5,10/11/2020,62,340021,Atrium Health - Cleveland,MHPC
16,11,24,37,45,11,0,0,14,0,5,262,138,13,8,9/3/2020,124,340021,Atrium Health - Cleveland,MHPC
8,4,8,5,5,0,0,1,2,0,2,27,16,4,0,9/9/2020,11,340071,Harnett Health - Central Harnett Hospital,CapRAC
18,4,14,32,38,12,0,4,15,1,5,176,100,10,6,10/3/2020,76,340130,Atrium Health - Union,MHPC
0,0,0,1,1,0,0,0,0,0,0,8,2,0,0,9/4/2020,6,340115,FirstHealth Moore Regional Hospital - Hoke Campus,MCRHC
5,3,9,8,12,0,0,3,0,0,0,95,77,6,4,9/21/2020,18,340016,Harris Hosptial,MAHPC
277,4,97,67,130,18,0,8,1,2,2,846,755,93,63,9/6/2020,91,340030,Duke University Hospital,DHPC
36,1,10,20,20,16,0,5,15,5,9,113,70,9,0,10/10/2020,43,340145,Atrium Health - Lincoln,MHPC
43,21,134,213,295,23,1,12,7,2,26,779,650,113,82,9/6/2020,129,340061,UNC Medical Center,MCRHC
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9/17/2020,0,341316,Highlands Cashiers Hospital,MAHPC
57,5,12,10,10,0,0,0,1,0,0,53,30,7,0,9/13/2020,23,340091,Cone Health Annie Penn Hospital,THPC
13,10,20,28,29,0,0,0,19,0,13,219,154,10,1,10/16/2020,65,340113,Atrium Health - Main,MHPC
12,1,6,13,13,2,0,0,2,0,0,66,53,5,0,9/8/2020,13,340068,Columbus Regional Healthcare System,SHPR
57,3,12,10,10,0,0,0,3,0,0,53,39,9,0,10/15/2020,14,340091,Cone Health Annie Penn Hospital,THPC
16,3,10,12,12,0,0,0,0,0,0,110,82,7,0,10/9/2020,28,340184,Haywood Hospital,MAHPC
12,0,4,4,4,7,0,3,0,1,0,29,21,4,0,9/17/2020,8,341318,Vidant Chowan Hospital,EHPC
0,3,10,5,6,4,0,1,0,2,0,111,80,7,1,8/30/2020,31,340003,Northern Regional Hospital,THPC
8,4,8,5,5,0,0,2,1,1,0,30,22,4,0,9/18/2020,8,340071,Harnett Health - Central Harnett Hospital,CapRAC
12,4,12,9,11,0,0,1,1,0,0,97,48,8,2,9/25/2020,49,340129,Lake Norman Regional Medical Center,MHPC
0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,9/18/2020,5,341323,Cannon Hospital,MAHPC
18,6,30,40,51,16,0,3,38,3,15,281,231,24,11,10/3/2020,50,340098,Atrium Health - Pineville,MHPC
29,3,8,15,15,4,0,0,0,2,1,81,55,5,0,9/3/2020,26,340097,Hugh Chatham Memorial Hospital,THPC
0,4,4,3,3,2,0,0,0,0,0,27,21,0,0,10/9/2020,6,341315,Cape Fear Valley Bladen Hospital,SHPR
5,0,0,0,1,0,0,0,0,0,0,12,12,0,1,9/22/2020,0,341314,Washington Regional Medical Center,EHPC
58,11,19,8,9,4,0,3,0,0,0,76,59,8,1,9/16/2020,17,340075,Carolinas HealthCare System Blue Ridge Morganton,MHPC
,,,,,,,,,,,,,,,10/16/2020,,341305,Swain Hospital,MAHPC
18,4,30,33,51,13,3,5,38,1,10,281,226,26,18,10/9/2020,55,340098,Atrium Health - Pineville,MHPC
11,6,13,20,25,3,0,0,0,1,0,155,76,7,5,9/9/2020,79,340085,Novant Health - Thomasville MC,THPC
0,1,10,6,7,6,0,3,0,1,0,111,87,9,1,8/26/2020,24,340003,Northern Regional Hospital,THPC
0,4,4,3,3,2,0,0,0,0,0,27,15,0,0,9/22/2020,12,341315,Cape Fear Valley Bladen Hospital,SHPR
281,10,48,106,187,22,0,5,11,4,1,827,643,38,81,9/28/2020,184,340053,Novant Health - Presbyterian,MHPC
0,0,0,0,0,0,0,0,0,0,0,41,15,0,0,8/31/2020,26,340187,WFBMC- Davie MC,THPC
7,0,0,4,4,0,0,0,0,0,1,18,15,0,0,9/1/2020,3,341307,Pender Memorial Hospital,SHPR
0,4,4,3,3,2,0,0,0,0,0,27,18,0,0,9/4/2020,9,341315,Cape Fear Valley Bladen Hospital,SHPR
11,0,0,2,2,0,0,0,0,0,0,12,2,0,0,9/11/2020,10,341303,FirstHealth Montgomery Memorial Hospital,MCRHC
48,4,17,30,36,12,0,1,0,1,3,265,204,13,6,8/30/2020,61,340155,Duke Regional Hospital,DHPC
0,2,8,0,8,4,0,1,2,0,1,112,39,6,8,9/5/2020,73,340064,WFBMC - Wilkes Regional MC,THPC
,,,,,,,,,,,,,,,9/20/2020,,340159,Person Memorial Hospital,DHPC
10,1,7,0,18,2,0,1,1,1,0,77,47,6,18,8/26/2020,30,340190,Novant Health - Mint Hill,THPC
13,0,0,0,0,0,0,0,1,0,0,18,0,0,0,9/12/2020,18,340156,Cherokee Indian Hospital,MAHPC
44,5,14,8,9,6,0,1,0,3,0,163,119,9,1,9/14/2020,44,340151,Vidant - North,EHPC
5,0,0,0,1,0,0,0,0,0,0,12,10,0,1,9/27/2020,2,341314,Washington Regional Medical Center,EHPC
7,0,0,4,4,0,0,0,0,0,0,25,7,0,0,9/28/2020,18,341327,Dosher Memorial Hospital,SHPR
0,7,17,5,6,1,0,0,0,0,0,112,45,10,1,10/8/2020,67,340096,WFBMC - Lexington MC,THPC
25,6,8,10,14,0,0,0,0,0,0,88,55,2,4,9/3/2020,33,340144,Davis Regional MC,THPC
0,0,0,1,1,0,0,0,0,0,0,8,6,0,0,9/12/2020,2,340115,FirstHealth Moore Regional Hospital - Hoke Campus,MCRHC
0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,9/12/2020,1,341323,Cannon Hospital,MAHPC
0,7,18,0,9,0,0,0,0,0,0,113,45,11,9,9/25/2020,68,340096,WFBMC - Lexington MC,THPC
22,20,59,31,34,10,1,4,7,1,13,177,118,39,3,9/24/2020,59,340090,Johnston UNC Health Care,CapRAC
0,0,0,2,2,1,0,0,3,0,2,15,10,0,0,10/4/2020,5,340084,Atrium Health - Anson,MHPC
0,5,10,5,9,2,0,4,4,2,4,125,42,5,4,10/2/2020,83,340013,Rutherford Regional Hospital,MAHPC
44,8,14,9,9,5,0,1,0,0,0,163,95,6,0,9/11/2020,68,340151,Vidant - North,EHPC
0,9,22,43,51,9,1,2,0,2,0,269,168,13,8,9/20/2020,101,340015,Novant Health - Rowan Medical Center,THPC
23,0,8,4,9,20,0,4,1,0,0,60,59,8,5,9/12/2020,1,340107,Vidant Edgecombe Hospital,EHPC
,,,,,,,,,,,,,,,8/27/2020,,340113,Atrium Health - Main,MHPC
31,4,6,4,4,2,0,2,0,0,0,31,11,2,0,10/8/2020,20,341328,Murphy Medical Center Erlanger Western Carolina Hospital,MAHPC
,,,,,,,,,,,,,,,8/29/2020,,102,Womack Army Medical Center,MCRHC
16,5,10,12,12,4,0,1,0,0,8,110,80,5,0,9/18/2020,30,340184,Haywood Hospital,MAHPC
0,3,4,4,4,9,0,1,0,0,2,29,20,1,0,8/30/2020,9,341318,Vidant Chowan Hospital,EHPC
24,1,8,32,33,6,0,0,24,0,9,126,95,7,1,10/15/2020,31,340166,Atrium Health - University,MHPC
1,0,0,2,2,0,0,0,0,0,0,17,11,0,0,9/15/2020,6,341305,Swain Hospital,MAHPC
20,2,16,5,14,25,0,8,0,0,0,138,130,14,9,9/26/2020,8,340126,Wilson Medical Center,EHPC
,,,,,,,,,,,,,,,10/15/2020,,101,Naval Medical Center Camp Lejeune,SHPR
277,46,110,60,130,36,0,9,0,7,2,860,808,64,70,10/9/2020,52,340030,Duke University Hospital,DHPC
0,4,6,2,2,0,0,0,0,0,0,25,10,2,0,9/19/2020,15,341322,St. Lukes Hospital,MAHPC
0,11,17,8,9,0,0,0,1,0,1,112,34,6,1,10/2/2020,78,340096,WFBMC - Lexington MC,THPC
0,4,8,27,35,0,0,0,0,0,0,93,57,4,8,9/25/2020,36,342014,Highsmith-Rainey Specialty Hospital,MCRHC
,,,,,,,,,,,,,,,9/12/2020,,340039,Iredell Health System,THPC
18,16,74,31,57,9,0,2,30,1,7,610,442,58,26,10/3/2020,168,340091,Cone Health Moses H. Cone Memorial Hospital,THPC
12,0,6,11,12,0,0,3,6,0,4,68,53,6,1,9/17/2020,15,340071,Harnett Health - Betsy Johnson Hospital,CapRAC
,,,,,,,,,,,,,,,10/16/2020,,341317,LifeBright Community Hospital of Stokes,THPC
0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,8/28/2020,0,341316,Highlands Cashiers Hospital,MAHPC
31,1,4,23,24,3,1,1,0,0,0,66,46,3,1,10/11/2020,20,340014,Novant Health - Forsyth MC,THPC
44,7,14,8,9,5,0,1,0,0,0,163,85,7,1,9/27/2020,78,340151,Vidant - North,EHPC
0,5,14,19,26,1,0,4,1,1,4,261,106,9,7,10/11/2020,155,340027,UNC Lenoir Hospital,EHPC
,,,,,,,,,,,,,,,9/4/2020,,340039,Iredell Health System,THPC
8,5,8,5,5,0,0,0,3,0,2,32,16,3,0,9/7/2020,16,340071,Harnett Health - Central Harnett Hospital,CapRAC
22,19,59,28,34,10,0,5,9,1,10,177,97,40,6,10/5/2020,80,340090,Johnston UNC Health Care,CapRAC
63,5,16,36,43,18,0,4,1,4,1,248,100,11,7,9/20/2020,148,340010,Wayne UNC Health Care,EHPC
16,2,7,12,13,25,0,4,0,3,0,97,85,5,1,8/31/2020,12,340008,Scotland Health Care System,MHPC
60,24,120,67,120,66,0,7,0,2,38,888,846,96,53,9/23/2020,42,340040,Vidant Medical Center,EHPC
16,0,4,6,6,2,0,1,3,0,1,20,18,4,0,9/9/2020,2,341311,UNC Chatham Hospital,MCRHC
,,,,,,,,,,,,,,,9/5/2020,,340184,Haywood Hospital,MAHPC
30,0,8,8,12,3,0,1,0,2,0,77,57,8,4,10/6/2020,20,340132,Maria Parham Medical Center,DHPC
49,1,8,20,21,5,0,0,0,0,0,264,153,7,1,10/9/2020,111,340183,Novant Health - Huntersville,MHPC
,,,,,,,,,,,,,,,9/15/2020,,102,Womack Army Medical Center,MCRHC
