Number of Additional Surge Beds Being Planned,Empty Adult ICU Beds,Adult ICU Staffed Bed Capacity,Number of Ventilators Available,Number of Ventilators in Hospital,Number of COVID-19 Positive Patients In Hospital,Number of Fatalities related to COVID-19 in past 24 hours,Number of COVID-19 Positive Adults in ICU,Number of ALL Patients Under Investigation for COVID-19 In Hospital,Number of new patients admitted to an inpatient bed who had confirmed COVID-19 at the time of admission in the past 24 hours,Number of new patients admitted to an inpatient bed who had suspected COVID-19 at the time of admission in the past 24 hours,Staffed Inpatient Capacity (all bed types),Inpatient Census (all bed types),Adult ICU Census,Number of Ventilators In Use,Date,Empty Inpatient Beds (all types),cms_number,hospital_name,Coalition
48,19,125,129,228,108,2,29,49,3,22,925,803,106,99,1/29/2021,122,340113,Atrium Health - Main,MHPC
20,7,23,50,56,10,0,2,0,1,0,309,232,16,6,11/11/2020,77,340131,CarolinaEast Medical Center,EHPC
31,0,4,18,24,18,0,4,1,1,0,97,93,4,6,1/26/2021,4,340014,Novant Health - Forsyth MC,THPC
23,0,8,5,9,4,0,3,0,4,0,60,59,8,4,12/6/2020,1,340107,Vidant Edgecombe Hospital,EHPC
37,0,12,4,14,44,1,6,0,7,0,142,138,12,10,1/3/2021,4,340042,Onslow Memorial Hospital,EHPC
14,0,0,5,5,2,0,0,3,0,0,17,6,0,0,11/22/2020,11,341324,The Outer Banks Hospital,EHPC
14,0,10,18,18,9,0,4,0,0,0,54,52,10,0,12/11/2020,2,340186,Vidant Beaufort Hospital,EHPC
0,3,6,4,4,3,0,0,0,0,0,31,14,3,0,12/7/2020,17,341328,Murphy Medical Center Erlanger Western Carolina Hospital,MAHPC
,,,,,,,,,,,,,,,11/10/2020,,101,Naval Medical Center Camp Lejeune,SHPR
58,-6,19,15,15,23,1,23,0,4,0,90,70,25,0,12/19/2020,20,340075,Carolinas HealthCare System Blue Ridge Morganton,MHPC
16,1,4,6,6,5,0,1,0,1,2,20,13,3,0,1/7/2021,7,341311,UNC Chatham Hospital,MCRHC
0,3,6,2,2,1,0,1,0,1,0,19,13,3,0,12/25/2020,6,341322,St. Lukes Hospital,MAHPC
16,0,0,3,3,5,0,0,0,1,2,61,32,0,0,12/23/2020,29,340069,Wake Medical Center,CapRAC
20,3,16,14,17,27,0,8,0,0,0,138,133,13,3,12/26/2020,5,340126,Wilson Medical Center,EHPC
0,0,0,2,2,6,0,0,0,1,3,32,6,0,0,12/29/2020,26,341329,Blue Ridge Regional Hospital,MAHPC
69,4,64,53,74,102,3,27,30,15,9,503,394,60,21,1/26/2021,109,340001,Atrium Health - Cabarrus,MHPC
25,3,8,14,14,3,0,3,0,1,0,88,49,5,0,11/30/2020,39,340144,Davis Regional MC,THPC
1,0,0,2,2,0,0,0,0,0,0,17,10,0,0,12/27/2020,7,341305,Swain Hospital,MAHPC
18,2,6,6,7,4,0,2,2,0,0,18,15,4,1,12/10/2020,3,340133,Martin General Hospital,EHPC
136,8,76,84,123,87,0,23,4,1,7,588,484,68,39,12/24/2020,104,340069,Wake Medical Center,CapRAC
49,0,0,6,6,2,0,0,0,2,0,27,13,0,0,1/4/2021,14,341325,Ashe Memorial Hospital,THPC
0,0,0,2,2,3,0,0,1,2,0,23,7,0,0,12/24/2020,16,340084,Atrium Health - Anson,MHPC
32,39,181,118,134,30,0,11,4,2,10,458,349,142,16,11/17/2020,109,340114,UNC Rex Hospital,MCRHC
8,0,0,5,5,1,0,0,2,0,0,17,13,0,0,11/5/2020,4,341324,The Outer Banks Hospital,EHPC
10,6,10,11,12,15,3,1,2,5,1,89,66,4,1,1/9/2021,23,340142,Carteret General Hospital,EHPC
59,1,10,31,41,39,1,5,3,0,0,246,177,9,10,12/30/2020,69,340171,Novant Health - Matthews,MHPC
0,0,0,1,1,0,0,0,0,0,0,8,6,0,0,11/16/2020,2,340115,FirstHealth Moore Regional Hospital - Hoke Campus,MCRHC
10,3,6,8,8,1,0,1,2,0,0,53,38,3,0,11/13/2020,15,340127,Granville Health System,DHPC
0,3,22,41,51,30,0,5,1,9,1,269,171,19,10,11/24/2020,98,340015,Novant Health - Rowan Medical Center,THPC
16,0,0,3,3,4,0,0,1,1,1,55,35,0,0,11/26/2020,20,340069,Wake Medical Center,CapRAC
58,0,19,14,15,34,0,32,0,4,0,92,65,19,1,1/15/2021,27,340075,Carolinas HealthCare System Blue Ridge Morganton,MHPC
0,0,0,0,0,0,0,0,0,0,0,47,22,0,0,12/17/2020,25,340187,WFBMC- Davie MC,THPC
37,0,12,4,14,33,0,7,0,2,0,142,134,12,10,12/28/2020,8,340042,Onslow Memorial Hospital,EHPC
13,0,0,0,0,2,0,0,0,2,0,18,7,0,0,1/28/2021,11,340156,Cherokee Indian Hospital,MAHPC
69,10,64,50,68,32,1,11,57,5,13,503,403,54,18,11/2/2020,100,340001,Atrium Health - Cabarrus,MHPC
44,7,14,8,9,25,0,2,0,1,0,163,84,7,1,12/26/2020,79,340151,Vidant - North,EHPC
65,0,12,13,17,37,3,7,1,2,2,178,154,12,4,1/20/2021,24,340173,Wake Medical Center Cary,CapRAC
21,14,59,21,34,55,0,15,0,10,15,176,114,45,13,1/11/2021,62,340090,Johnston UNC Health Care,CapRAC
0,0,0,2,2,0,0,0,0,0,0,6,3,0,0,12/11/2020,3,341320,Alleghany Memorial Hospital,THPC
29,0,6,17,17,10,0,5,6,3,3,62,36,6,0,11/24/2020,26,340068,Columbus Regional Healthcare System,SHPR
41,15,22,35,37,8,0,2,0,1,2,147,70,7,2,11/13/2020,77,340017,Pardee Hospital,MAHPC
12,5,12,10,11,9,0,3,2,0,0,97,47,7,1,11/25/2020,50,340129,Lake Norman Regional Medical Center,MHPC
23,5,32,10,22,39,1,16,0,3,0,277,196,27,12,12/17/2020,81,340004,WFBMC- High Point MC,THPC
27,0,0,13,13,0,0,0,0,0,0,42,36,0,0,11/12/2020,6,340014,Novant Health - Forsyth MC,THPC
0,6,9,3,3,1,0,0,3,0,1,37,9,3,0,11/27/2020,28,341326,Angel Medical Center,MAHPC
44,2,14,8,9,31,0,5,0,9,0,163,126,12,1,1/5/2021,37,340151,Vidant - North,EHPC
30,11,102,161,230,76,3,22,19,15,2,1037,720,91,69,11/19/2020,317,340014,Novant Health - Forsyth MC,THPC
10,0,8,8,9,1,0,1,1,1,1,70,64,8,1,11/9/2020,6,340099,Vidant Roanoke Chowan Hospital,EHPC
51,1,16,11,15,27,0,10,1,11,1,154,103,15,4,11/9/2020,51,340039,Iredell Health System,THPC
10,0,18,32,41,39,1,6,16,4,5,203,154,18,9,12/8/2020,49,340021,Atrium Health - Cleveland,MHPC
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,12/14/2020,0,341316,Highlands Cashiers Hospital,MAHPC
0,0,0,2,2,1,0,0,5,0,2,23,6,0,0,12/31/2020,17,340084,Atrium Health - Anson,MHPC
49,0,8,20,22,11,0,2,0,1,0,264,142,8,2,11/5/2020,122,340183,Novant Health - Huntersville,MHPC
0,2,6,2,3,6,0,4,0,0,0,19,0,4,1,1/9/2021,19,341322,St. Lukes Hospital,MAHPC
0,2,8,0,8,8,0,2,0,1,0,116,49,6,8,12/17/2020,67,340064,WFBMC - Wilkes Regional MC,THPC
0,2,4,4,4,18,0,1,3,1,3,49,24,2,0,1/28/2021,25,340188,Cape Fear Valley Hoke Hospital,MCRHC
0,0,0,15,15,0,0,0,0,0,0,38,11,0,0,1/31/2021,27,340148,Novant Health - Medical Park Hospital,THPC
8,1,8,5,5,7,0,3,8,0,4,32,29,7,0,1/9/2021,3,340071,Harnett Health - Central Harnett Hospital,CapRAC
60,2,10,15,16,14,0,2,5,3,4,98,57,8,1,11/30/2020,41,340109,Sentara Albemarle Medical Center,EHPC
35,0,16,6,29,71,1,21,5,13,5,200,154,16,23,12/31/2020,46,340143,Catawba Valley Medical Center,THPC
143,5,65,27,57,86,1,15,7,6,35,654,465,60,30,12/27/2020,189,340028,Cape Fear Valley Medical Center,MCRHC
5,1,9,10,12,0,0,4,0,0,0,95,64,8,2,12/10/2020,31,340016,Harris Hosptial,MAHPC
45,14,135,237,295,29,0,12,2,2,17,780,623,121,58,11/3/2020,157,340061,UNC Medical Center,MCRHC
45,21,136,230,295,52,0,23,2,3,12,818,697,115,65,12/11/2020,121,340061,UNC Medical Center,MCRHC
10,4,10,11,12,11,0,0,1,1,1,89,61,6,1,1/29/2021,28,340142,Carteret General Hospital,EHPC
44,3,6,6,7,0,0,1,0,0,0,88,57,3,1,11/6/2020,31,340023,Park Ridge Health (Advent Health),MAHPC
60,26,120,80,181,88,0,19,0,13,0,916,814,94,101,12/7/2020,102,340040,Vidant Medical Center,EHPC
0,0,0,2,2,6,0,0,1,0,3,32,9,0,0,1/4/2021,23,341329,Blue Ridge Regional Hospital,MAHPC
29,3,6,14,17,21,0,3,1,4,1,62,56,3,3,1/22/2021,6,340068,Columbus Regional Healthcare System,SHPR
48,20,125,134,228,107,1,27,42,7,13,925,775,105,94,1/30/2021,150,340113,Atrium Health - Main,MHPC
7,1,9,9,10,11,0,2,0,2,2,34,27,8,1,11/28/2020,7,340120,Vidant Duplin Hospital,EHPC
40,4,10,15,16,14,0,2,2,3,2,98,47,6,1,11/29/2020,51,340109,Sentara Albemarle Medical Center,EHPC
9,0,0,3,4,6,0,0,0,0,0,16,9,0,1,1/31/2021,7,341314,Washington Regional Medical Center,EHPC
25,3,8,14,14,0,0,3,0,0,0,88,60,5,0,11/11/2020,28,340144,Davis Regional MC,THPC
16,0,12,8,13,46,0,5,0,10,0,119,106,12,5,1/12/2021,13,340008,Scotland Health Care System,MHPC
36,0,10,25,26,36,1,8,10,7,2,113,78,10,1,1/12/2021,35,340145,Atrium Health - Lincoln,MHPC
5,0,8,10,12,0,0,7,0,0,0,94,63,8,2,12/15/2020,31,340016,Harris Hosptial,MAHPC
0,2,14,28,41,22,0,0,0,5,0,261,110,12,13,12/25/2020,151,340027,UNC Lenoir Hospital,EHPC
0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,12/25/2020,0,341316,Highlands Cashiers Hospital,MAHPC
0,0,0,2,2,0,0,0,0,0,0,6,3,0,0,12/7/2020,3,341320,Alleghany Memorial Hospital,THPC
0,0,0,15,15,0,0,0,0,0,0,38,10,0,0,11/15/2020,28,340148,Novant Health - Medical Park Hospital,THPC
0,4,22,44,51,29,1,6,8,2,1,269,166,18,7,12/8/2020,103,340015,Novant Health - Rowan Medical Center,THPC
5,0,0,3,3,0,0,0,0,0,0,12,7,0,0,12/28/2020,5,341314,Washington Regional Medical Center,EHPC
120,12,74,32,57,86,3,11,41,9,1,559,459,62,25,1/5/2021,100,340091,Cone Health Moses H. Cone Memorial Hospital,THPC
12,2,12,9,11,17,2,7,1,2,0,97,51,10,2,12/7/2020,46,340129,Lake Norman Regional Medical Center,MHPC
281,11,48,103,191,34,1,7,11,5,3,795,647,37,88,11/4/2020,148,340053,Novant Health - Presbyterian,MHPC
10,0,7,15,18,14,0,3,6,1,1,77,44,7,3,1/10/2021,33,340190,Novant Health - Mint Hill,THPC
41,12,22,31,37,12,0,4,0,2,4,146,67,10,6,12/12/2020,79,340017,Pardee Hospital,MAHPC
68,9,20,18,22,46,0,2,6,6,0,213,114,11,4,1/9/2021,99,340070,Alamance Regional Medical Center,MCRHC
23,0,25,18,25,55,3,14,0,5,0,234,191,25,7,1/14/2021,43,340004,WFBMC- High Point MC,THPC
20,0,16,16,18,46,0,6,0,0,0,138,138,16,2,1/10/2021,0,340126,Wilson Medical Center,EHPC
27,0,0,13,13,4,0,0,0,0,0,42,40,0,0,1/24/2021,2,340014,Novant Health - Forsyth MC,THPC
0,0,10,16,17,21,0,3,0,4,0,78,52,10,1,1/31/2021,26,340003,Northern Regional Hospital,THPC
29,0,8,15,15,15,0,2,0,3,0,81,66,8,0,12/5/2020,15,340097,Hugh Chatham Memorial Hospital,THPC
281,8,48,114,189,38,0,7,6,3,0,795,623,40,75,11/11/2020,172,340053,Novant Health - Presbyterian,MHPC
58,2,19,7,9,17,1,17,0,6,0,90,65,17,2,12/4/2020,25,340075,Carolinas HealthCare System Blue Ridge Morganton,MHPC
0,4,4,3,3,2,0,0,2,0,1,27,20,0,0,1/3/2021,7,341315,Cape Fear Valley Bladen Hospital,SHPR
0,9,38,10,27,85,2,12,2,6,0,331,298,29,17,1/19/2021,33,340115,FirstHealth Moore Regional Hospital,MCRHC
0,0,0,1,2,0,0,0,0,0,0,6,5,0,1,12/2/2020,1,341320,Alleghany Memorial Hospital,THPC
0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,12/9/2020,4,341323,Cannon Hospital,MAHPC
6,0,0,6,6,7,0,0,7,0,4,59,46,0,0,1/9/2021,13,340037,Atrium Health - Kings Mountain,MHPC
16,2,4,6,6,0,0,0,0,0,0,20,9,2,0,12/6/2020,11,341311,UNC Chatham Hospital,MCRHC
18,1,14,28,38,18,1,7,41,2,11,176,132,13,10,11/16/2020,44,340130,Atrium Health - Union,MHPC
44,2,6,6,7,0,0,0,0,0,0,88,66,4,1,11/18/2020,22,340023,Park Ridge Health (Advent Health),MAHPC
29,0,8,13,15,31,0,4,0,6,0,81,61,8,2,1/7/2021,20,340097,Hugh Chatham Memorial Hospital,THPC
20,5,16,13,17,22,2,7,0,0,0,138,131,11,4,12/23/2020,7,340126,Wilson Medical Center,EHPC
0,4,4,3,3,1,0,0,0,0,0,27,18,0,0,11/30/2020,9,341315,Cape Fear Valley Bladen Hospital,SHPR
0,8,18,0,8,4,0,2,0,1,0,113,38,10,8,11/4/2020,75,340096,WFBMC - Lexington MC,THPC
12,1,12,6,11,0,0,2,2,0,0,97,49,11,5,11/10/2020,48,340129,Lake Norman Regional Medical Center,MHPC
31,0,4,24,24,4,0,0,0,1,0,71,64,4,0,11/17/2020,7,340014,Novant Health - Forsyth MC,THPC
29,2,8,15,15,13,0,2,0,3,0,81,63,6,0,12/8/2020,18,340097,Hugh Chatham Memorial Hospital,THPC
429,28,76,82,120,67,0,13,6,8,7,756,509,48,38,12/26/2020,247,340141,New Hanover Regional MC,SHPR
37,3,12,10,20,28,2,2,0,3,0,142,136,9,10,1/26/2021,6,340042,Onslow Memorial Hospital,EHPC
0,0,0,2,2,1,0,0,5,0,1,23,6,0,0,12/17/2020,17,340084,Atrium Health - Anson,MHPC
20,3,16,6,14,43,0,10,0,0,0,138,135,13,8,12/2/2020,3,340126,Wilson Medical Center,EHPC
0,2,22,36,51,53,2,4,0,4,0,269,164,20,15,1/10/2021,105,340015,Novant Health - Rowan Medical Center,THPC
18,2,6,5,7,3,0,1,2,2,2,18,10,4,2,11/9/2020,8,340133,Martin General Hospital,EHPC
,,,,,,,,,,,,,,,1/4/2021,,101,Naval Medical Center Camp Lejeune,SHPR
0,0,0,1,1,0,0,0,0,0,0,8,2,0,0,12/21/2020,6,340115,FirstHealth Moore Regional Hospital - Hoke Campus,MCRHC
9,46,181,115,134,18,0,5,3,2,11,458,343,135,19,11/6/2020,115,340114,UNC Rex Hospital,MCRHC
13,11,20,22,34,33,1,9,15,3,7,216,153,9,12,1/21/2021,63,340113,Atrium Health - Main,MHPC
59,0,10,37,41,28,0,2,4,6,3,246,179,10,4,12/8/2020,67,340171,Novant Health - Matthews,MHPC
0,19,117,45,91,129,2,44,26,23,19,767,607,98,46,1/1/2021,160,340002,Mission Health Hospital,MAHPC
16,4,4,6,6,6,0,0,0,1,1,20,12,0,0,1/15/2021,8,341311,UNC Chatham Hospital,MCRHC
16,0,0,3,3,7,0,0,0,1,2,61,35,0,0,1/18/2021,26,340069,Wake Medical Center,CapRAC
30,2,8,8,12,10,1,2,0,0,0,77,47,6,4,12/17/2020,30,340132,Maria Parham Medical Center,DHPC
16,2,8,11,13,32,0,5,0,7,0,117,106,6,2,12/15/2020,11,340008,Scotland Health Care System,MHPC
49,0,0,5,5,1,0,0,1,1,0,27,18,0,0,11/29/2020,9,341325,Ashe Memorial Hospital,THPC
30,7,112,145,230,173,2,36,14,19,2,998,802,105,85,1/13/2021,196,340014,Novant Health - Forsyth MC,THPC
44,1,6,7,7,0,0,4,0,0,0,88,50,5,0,12/24/2020,38,340023,Park Ridge Health (Advent Health),MAHPC
58,0,19,14,15,18,0,19,0,2,0,89,55,19,1,12/21/2020,34,340075,Carolinas HealthCare System Blue Ridge Morganton,MHPC
143,3,65,28,52,33,0,7,5,2,16,629,533,62,24,11/10/2020,96,340028,Cape Fear Valley Medical Center,MCRHC
0,4,4,3,3,2,0,0,1,0,1,27,18,0,0,12/28/2020,9,341315,Cape Fear Valley Bladen Hospital,SHPR
0,6,18,0,9,14,0,7,0,2,0,113,41,12,9,12/24/2020,72,340096,WFBMC - Lexington MC,THPC
48,3,14,30,36,38,1,6,0,3,3,258,180,11,6,12/26/2020,78,340155,Duke Regional Hospital,DHPC
0,2,8,0,8,8,0,4,0,3,0,114,48,6,8,12/20/2020,66,340064,WFBMC - Wilkes Regional MC,THPC
0,1,9,3,3,7,0,0,4,1,3,37,19,8,0,1/6/2021,18,341326,Angel Medical Center,MAHPC
36,1,10,26,26,30,2,5,2,4,2,113,67,9,0,1/20/2021,46,340145,Atrium Health - Lincoln,MHPC
10,1,18,26,42,20,0,5,26,2,12,203,111,17,16,11/12/2020,92,340021,Atrium Health - Cleveland,MHPC
0,4,9,3,3,0,0,0,2,0,2,30,15,5,0,11/8/2020,15,341319,Transylvania Regional Hospital,MAHPC
0,12,38,19,27,31,0,5,0,1,0,331,287,26,8,11/14/2020,44,340115,FirstHealth Moore Regional Hospital,MCRHC
59,0,10,34,41,10,0,1,4,1,1,246,175,10,7,11/17/2020,71,340171,Novant Health - Matthews,MHPC
10,1,7,14,18,18,0,5,0,5,0,77,47,6,4,1/14/2021,30,340190,Novant Health - Mint Hill,THPC
56,2,8,10,10,9,0,2,0,2,0,67,29,6,0,12/4/2020,38,340024,Sampson Regional Medical Center,MCRHC
69,14,64,42,66,70,0,11,42,2,22,503,424,50,24,12/5/2020,79,340001,Atrium Health - Cabarrus,MHPC
12,0,0,2,2,0,0,0,0,0,0,6,4,0,0,11/17/2020,2,341304,Vidant Bertie Hospital,EHPC
7,0,0,4,4,0,0,0,0,0,1,18,14,0,0,11/5/2020,4,341307,Pender Memorial Hospital,SHPR
49,0,0,5,5,1,0,0,0,2,0,27,16,0,0,11/10/2020,11,341325,Ashe Memorial Hospital,THPC
0,2,9,3,3,6,0,0,1,0,0,37,10,7,0,1/17/2021,27,341326,Angel Medical Center,MAHPC
,,,,,,,,,,,,,,,12/15/2020,,100,Durham VA,DHPC
31,0,4,23,24,8,0,3,0,0,0,71,60,4,1,11/25/2020,11,340014,Novant Health - Forsyth MC,THPC
0,0,0,2,2,3,0,0,2,1,1,23,5,0,0,12/29/2020,18,340084,Atrium Health - Anson,MHPC
45,26,135,251,295,42,0,18,2,2,23,780,659,109,44,11/14/2020,121,340061,UNC Medical Center,MCRHC
0,0,0,5,5,2,0,0,3,1,1,23,8,0,0,1/24/2021,15,340084,Atrium Health - Anson,MHPC
0,7,25,23,27,21,0,3,5,1,0,295,163,18,4,11/11/2020,132,340050,Southeastern Regional Medical Center,DHPC
11,0,0,2,2,1,0,0,0,0,0,12,3,0,0,1/27/2021,9,341303,FirstHealth Montgomery Memorial Hospital,MCRHC
54,1,8,5,5,15,0,4,4,1,4,107,106,7,0,12/27/2020,1,340060,UNC Rockingham Hospital,THPC
0,0,0,2,2,4,0,0,3,0,3,32,9,0,0,11/21/2020,23,341329,Blue Ridge Regional Hospital,MAHPC
1,0,0,2,2,0,0,0,0,0,0,17,9,0,0,1/25/2021,8,341305,Swain Hospital,MAHPC
15,3,3,4,4,4,1,3,0,1,0,31,17,0,0,11/8/2020,14,341328,Murphy Medical Center Erlanger Western Carolina Hospital,MAHPC
10,0,7,17,18,8,0,4,1,0,1,77,38,7,1,12/19/2020,39,340190,Novant Health - Mint Hill,THPC
54,5,16,23,40,33,0,7,2,1,4,104,69,11,17,12/24/2020,35,340109,Sentara Albemarle Medical Center,EHPC
64,0,15,20,25,38,1,0,0,4,0,182,160,15,5,1/11/2021,22,340073,Duke Raleigh Hospital,DHPC
12,0,0,2,2,0,0,0,0,0,0,6,3,0,0,12/26/2020,3,341304,Vidant Bertie Hospital,EHPC
0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,11/20/2020,6,341323,Cannon Hospital,MAHPC
24,2,20,6,10,16,0,2,16,6,4,151,105,18,4,11/30/2020,46,340091,Cone Health Wesley Long Hospital,THPC
22,3,59,22,34,45,0,14,3,4,12,177,134,56,12,1/24/2021,43,340090,Johnston UNC Health Care,CapRAC
31,0,4,21,24,8,1,4,0,1,0,71,63,4,3,12/9/2020,8,340014,Novant Health - Forsyth MC,THPC
25,16,24,16,24,27,0,7,0,4,0,204,163,8,8,12/1/2020,41,340116,Frye Regional MC,THPC
53,4,17,29,43,39,1,2,1,3,5,260,137,13,14,12/11/2020,123,340010,Wayne UNC Health Care,EHPC
54,2,8,4,5,12,0,2,0,2,0,107,105,6,1,1/26/2021,2,340060,UNC Rockingham Hospital,THPC
29,1,5,26,26,9,0,0,2,1,0,114,60,4,0,11/21/2020,54,340158,Novant Health - Brunswick MC,SHPR
1,0,0,2,2,0,0,0,0,0,0,17,8,0,0,11/5/2020,9,341305,Swain Hospital,MAHPC
18,0,30,43,55,72,1,15,11,6,6,281,267,30,12,1/21/2021,14,340098,Atrium Health - Pineville,MHPC
67,0,9,12,17,76,1,9,12,8,0,76,76,9,5,11/8/2020,0,340091,Women's Hospital,THPC
0,6,10,8,9,3,0,2,12,1,9,125,36,4,1,11/20/2020,89,340013,Rutherford Regional Hospital,MAHPC
0,0,1,4,4,4,0,0,1,0,3,25,18,1,0,12/17/2020,7,340087,McDowell Hospital,MAHPC
,,,,,,,,,,,,,,,1/31/2021,,101,Naval Medical Center Camp Lejeune,SHPR
7,3,9,10,10,11,1,5,0,0,0,34,29,6,0,12/26/2020,5,340120,Vidant Duplin Hospital,EHPC
0,0,0,15,15,0,0,0,0,0,0,38,12,0,0,11/8/2020,26,340148,Novant Health - Medical Park Hospital,THPC
10,3,6,8,8,2,0,2,0,2,0,53,43,3,0,12/7/2020,10,340127,Granville Health System,DHPC
0,0,0,1,1,0,0,0,0,0,0,14,5,0,0,12/2/2020,9,341317,LifeBright Community Hospital of Stokes,THPC
0,1,9,3,3,0,0,0,3,0,2,30,17,8,0,11/17/2020,13,341319,Transylvania Regional Hospital,MAHPC
56,1,8,7,10,6,0,2,0,1,0,67,30,7,3,1/26/2021,37,340024,Sampson Regional Medical Center,MCRHC
69,19,64,50,66,72,4,17,34,6,11,503,353,45,16,12/20/2020,150,340001,Atrium Health - Cabarrus,MHPC
30,6,112,151,230,176,2,40,14,22,2,1022,830,106,79,1/23/2021,192,340014,Novant Health - Forsyth MC,THPC
48,4,21,27,36,15,0,1,0,2,4,291,214,17,9,11/3/2020,77,340155,Duke Regional Hospital,DHPC
0,4,9,3,3,7,0,3,1,2,4,30,19,5,0,1/5/2021,11,341319,Transylvania Regional Hospital,MAHPC
36,1,10,25,26,36,2,8,3,5,2,113,88,9,1,1/18/2021,25,340145,Atrium Health - Lincoln,MHPC
35,0,16,14,26,26,0,9,2,2,1,200,122,16,12,11/4/2020,78,340143,Catawba Valley Medical Center,THPC
37,1,12,9,14,0,0,2,4,2,5,142,141,11,5,11/17/2020,1,340042,Onslow Memorial Hospital,EHPC
0,0,0,1,1,0,0,0,0,0,0,14,7,0,0,1/29/2021,7,341317,LifeBright Community Hospital of Stokes,THPC
7,0,0,4,4,0,0,0,0,0,1,18,11,0,0,11/26/2020,7,341307,Pender Memorial Hospital,SHPR
23,0,8,5,9,1,0,4,0,1,0,60,57,8,4,12/8/2020,3,340107,Vidant Edgecombe Hospital,EHPC
4,34,181,116,134,51,1,18,6,7,13,487,381,147,18,12/2/2020,106,340114,UNC Rex Hospital,MCRHC
0,0,0,1,1,0,0,0,0,0,0,8,5,0,0,12/31/2020,3,340115,FirstHealth Moore Regional Hospital - Hoke Campus,MCRHC
64,3,12,8,10,16,0,2,1,1,0,53,46,9,2,1/12/2021,7,340091,Cone Health Annie Penn Hospital,THPC
21,12,59,21,34,50,2,12,0,5,11,176,118,47,13,1/2/2021,58,340090,Johnston UNC Health Care,CapRAC
7,0,9,9,10,9,0,2,0,3,0,34,32,9,1,11/25/2020,2,340120,Vidant Duplin Hospital,EHPC
0,6,10,8,9,7,0,2,14,1,12,125,43,4,1,11/11/2020,82,340013,Rutherford Regional Hospital,MAHPC
10,4,7,12,12,0,0,0,0,1,0,86,72,3,0,11/22/2020,14,340142,Carteret General Hospital,EHPC
